0	﻿خواهشا	﻿خواهشا	﻿خواهشا	﻿خواهشا	N
8	بازهم	بازه|بازه|زهم|زه|زه	بازه|بازه|زهم|زه|زه	بازه+م|بازه+م|با+زهم|با+زه+م|با+زه+م	N1+N|N1+V|O+N1|O+N1+N|O+N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|با + اسم|با + اسم + ضمیر ملکی اول شخص مفرد|با + اسم + فعل اول شخص مفرد
9	باید	باید	باید	باید	V4	فعل وجه نما
10	کلی	کلی|کل|کل|کل|کل|کل	کلی|کل|کل|کل|کل|کل	کلی|کل+ی|کل+ی|کل+ی|کل+ی|کل+ی	A0|A0+Y|A0+Y|N1+Y|N1+Y|N1+Y	صفت|صفت + ی|صفت + ی|اسم + ی|اسم + ی|اسم + ی
11	براش	راش|برا	راش|برا	ب+راش|برا+ش	O+N1|A0+N	ب + اسم|صفت + ضمیر ملکی سوم شخص مفرد
12	تلاش	تلاش	تلاش	تلاش	N1	اسم
13	کنی	کن|کن	کن|کن	کن+ی|کن+ی	V|V	دوم شخص مفرد|دوم شخص مفرد
14	.	.	.	.	Si	

0	اگر	اگر	اگر	اگر	C0	حرف ربط
1	فردا	فردا	فردا	فردا	Ad	قید
2	نتونست	نتونست	نتونست	نتونست	N
3	بیاد	یاد	یاد	ب+یاد	O+N1	ب + اسم
4	باهم	باهم|اهم|باه|باه|اه|اه	باهم|اهم|باه|باه|اه|اه	باهم|ب+اهم|باه+م|باه+م|ب+اه+م|ب+اه+م	Ad|O+A0|N1+N|N1+V|O+N1+N|O+N1+V	قید|ب + صفت|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|ب + اسم + ضمیر ملکی اول شخص مفرد|ب + اسم + فعل اول شخص مفرد
5	میریم	میر|میر|میر	میر|میر|میر	میر+یم|میر+ی+م|میر+یم	V|V|N1+V	اول شخص جمع|دوم شخص مفرد|اسم + فعل اول شخص جمع
6	دنبال	دنبال|دنبال	دنبال|دنبال	دنبال|دنبال	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
7	پسرخالت	پسرخالت	پسرخالت	پسرخالت	N
8	.	.	.	.	Si	

0	فردای	فردا	فردا	فردا	N
1	اون	اون	اون	اون	N
2	روز	روز	روز	روز	N1	اسم
3	دیگه	دیگ	دیگ	دیگ+ه	N1+O	اسم + ه
4	همه	همه|همه	همه|همه	همه|همه	N1|A2	اسم|صفت مبهم
5	رفته	رفت|رفت	رفت|رفت	رفت+ه|رفت+ه	O+O|O+O	ریشه ماضی + ه|ریشه ماضی + ه
6	بودن	بود|بود|بو	بود|بود|بو	بود+ن|بود+ن|بو+د+ن	V2+Neg|V3+Neg|V1+O+Neg	بن ماضی + ن|فعل اسنادی + ن|بن مضارع + د + ن
7	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
8	سمت	سمت|سمت|سم|سم	سمت|سمت|سم|سم	سمت|سمت|سم+ت|سم+ت	N1|N1|N1+N|N1+N	اسم|اسم|اسم + ضمیر ملکی دوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
9	خونه	خون	خون	خون+ه	N1+O	اسم + ه
10	هاشون	هاشون	هاشون	هاشون	N
11	.	.	.	.	Si	

0	باورم	باور|باور|ورم|ور|ور|ور|ور	باور|باور|ورم|ور|ور|ور|ور	باور+م|باور+م|با+ورم|با+ور+م|با+ور+م|با+ور+م|با+ور+م	N1+N|N1+V|O+N1|O+N1+N|O+N1+V|O+N1+N|O+N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|با + اسم|با + اسم + ضمیر ملکی اول شخص مفرد|با + اسم + فعل اول شخص مفرد|با + اسم + ضمیر ملکی اول شخص مفرد|با + اسم + فعل اول شخص مفرد
1	نمی‌شه	میش|می|می	میش|می|می	میش+ه|می+ش+ه|می+ش+ه	N1+O|N1+N+O|N1+N+O	اسم + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه
2	می‌تونستیم	می تونستیم	می تونستیم	می تونستیم	N
3	از	از	از	از	Pr	حرف اضافه
4	اون	اون	اون	اون	N
5	کوه	کوه	کوه	کوه	N1	اسم
6	بالا	بالا	بالا	بالا	A0	صفت
7	بریم	بر|بر|بر|بر|بر	بر|بر|بر|بر|بر	بر+یم|بر+یم|بر+ی+م|بر+ی+م|بر+یم	V|V|V|V|N1+V	اول شخص جمع|اول شخص جمع|دوم شخص مفرد|دوم شخص مفرد|اسم + فعل اول شخص جمع
8	.	.	.	.	Si	

0	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
1	دوستمون	دوستمون	دوستمون	دوستمون	N
2	کره	کره|کره|کره|کر	کره|کره|کره|کر	کره|کره|کره|کر+ه	N1|N1|N1|A0+O	اسم|اسم|اسم|صفت + ه
3	یا	یا|یا	یا|یا	یا|یا	C0|Intj	حرف ربط|صوت
4	لاله	لاله	لاله	لاله	N3	اسم خاص اشخاص
5	؟	؟	؟	؟	Si	

0	اگر	اگر	اگر	اگر	C0	حرف ربط
1	امروز	امروز	امروز	امروز	N1	اسم
2	من	من	من	من	N5	ضمیر فاعلی
3	نتونستم	نتونستم	نتونستم	نتونستم	N
4	بیام	ام	ام	بی+ام	O+N1	بی + اسم
5	باید	باید	باید	باید	V4	فعل وجه نما
6	برای	برای	برای	برای	Pr	حرف اضافه
7	یک	یک	یک	یک	No	عدد حرفی
8	روز	روز	روز	روز	N1	اسم
9	دیگه	دیگ	دیگ	دیگ+ه	N1+O	اسم + ه
10	برنامه	برنامه	برنامه	برنامه	N1	اسم
11	ریزی	ریزی|ریز|ریز	ریزی|ریز|ریز	ریزی|ریز+ی|ریز+ی	N1|V|A0+Y	اسم|دوم شخص مفرد|صفت + ی
12	کنیم	کن|کن|کن|کن|کن	کن|کن|کن|کن|کن	کن+یم|کن+یم|کن+ی+م|کن+ی+م|کن+یم	V|V|V|V|N2+V	اول شخص جمع|اول شخص جمع|دوم شخص مفرد|دوم شخص مفرد|اسم خاص مکان + فعل اول شخص جمع
13	.	.	.	.	Si	

0	من	من	من	من	N5	ضمیر فاعلی
1	هنوز	هنوز	هنوز	هنوز	Ad	قید
2	از	از	از	از	Pr	حرف اضافه
3	تصادف	تصادف	تصادف	تصادف	N1	اسم
4	دیروز	دیروز	دیروز	دیروز	Ad	قید
5	توی	تو|تو	تو|تو	تو+ی|تو+ی	Ad+Y|N1+Y	قید + ی|اسم + ی
6	شکهم	شکهم	شکهم	شکهم	N
7	،	،	،	،	Si	
8	نمیدونم	نمیدونم	نمیدونم	نمیدونم	N
9	چطور	چطور	چطور	چطور	A0	صفت
10	جون	جون	جون	جون	N1	اسم
11	سالم	سالم|سال|سال	سالم|سال|سال	سالم|سال+م|سال+م	A0|N1+N|N1+V	صفت|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
12	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
13	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
14	بردیم	ردیم|برد|برد|برد|ردی|ردی|رد	ردیم|برد|برد|برد|ردی|ردی|رد	ب+ردیم|برد+یم|برد+ی+م|برد+یم|ب+ردی+م|ب+ردی+م|ب+رد+یم	O+N1|V|V|N1+V|O+N1+N|O+N1+V|O+A0+V	ب + اسم|اول شخص جمع|دوم شخص مفرد|اسم + فعل اول شخص جمع|ب + اسم + ضمیر ملکی اول شخص مفرد|ب + اسم + فعل اول شخص مفرد|ب + صفت + فعل اول شخص جمع
15	.	.	.	.	Si	

0	لنگرود	لنگرود	لنگرود	لنگرود	N2	اسم خاص مکان
1	کتابخونه	کتابخونه	کتابخونه	کتابخونه	N
2	شبانه	شبانه|شبان|شب	شبانه|شبان|شب	شبانه|شبان+ه|شب+ان+ه	A0|N1+O|N1+Pl+O	صفت|اسم + ه|اسم + ان + ه
3	روزی	روزی|روز	روزی|روز	روزی|روز+ی	N1|N1+Y	اسم|اسم + ی
4	داره	دار|دار	دار|دار	دار+ه|دار+ه	V1+O|N1+O	بن مضارع + ه|اسم + ه
5	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
6	کرج	کرج	کرج	کرج	N2	اسم خاص مکان
7	نه	نه|نه|نه	نه|نه|نه	نه|نه|نه	No|V|N1	عدد حرفی|فعل امر مثبت|اسم
8	.	.	.	.	Si	

0	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
1	باور	باور	باور	باور	N1	اسم
2	کنید	کن|کن	کن|کن	کن+ید|کن+ید	V|V	دوم شخص جمع|دوم شخص جمع
3	دعوا	دعوا	دعوا	دعوا	N1	اسم
4	سر	سر|سر|سر|سر|سر	سر|سر|سر|سر|سر	سر|سر|سر|سر|سر	V|N1|N1|N1|N9	فعل امر مثبت|اسم|اسم|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
5	توزیع	توزیع	توزیع	توزیع	N1	اسم
6	،	،	،	،	Si	
7	سیستم	سیستم	سیستم	سیستم	N1	اسم
8	عامل	عامل	عامل	عامل	N1	اسم
9	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
10	زبان	زبان	زبان	زبان	N1	اسم
11	برنامه	برنامه	برنامه	برنامه	N1	اسم
12	نویسی	نویسی|نویس	نویسی|نویس	نویسی|نویس+ی	N1|V	اسم|دوم شخص مفرد
13	خیلی	خیلی|خیلی|خیل	خیلی|خیلی|خیل	خیلی|خیلی|خیل+ی	A0|Ad|N1+Y	صفت|قید|اسم + ی
14	حال	حال	حال	حال	N1	اسم
15	میده	میده	میده	میده	N
16	.	.	.	.	Si	

0	شاید	شاید|شاید|شا	شاید|شاید|شا	شاید|شاید|شا+ی+د	V|Ad|V	سوم شخص مفرد|قید|سوم شخص مفرد
1	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
2	،	،	،	،	Si	
3	وصف	وصف|وصف	وصف|وصف	وصف|وصف	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
4	من	من	من	من	N5	ضمیر فاعلی
5	،	،	،	،	Si	
6	توی	تو|تو	تو|تو	تو+ی|تو+ی	Ad+Y|N1+Y	قید + ی|اسم + ی
7	یک	یک	یک	یک	No	عدد حرفی
8	دقیقه	دقیقه|دقیق	دقیقه|دقیق	دقیقه|دقیق+ه	N1|A0+O	اسم|صفت + ه
9	باشه	باشه|باش	باشه|باش	باشه|باش+ه	N1|V1+O	اسم|بن مضارع + ه
10	.	.	.	.	Si	

0	انسان	انسان	انسان	انسان	N1	اسم
1	دارای	دارا	دارا	دارا+ی	A0+Y	صفت + ی
2	مغز	مغز	مغز	مغز	N1	اسم
3	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
4	قوه	قوه|قو|قو	قوه|قو|قو	قوه|قو+ه|قو+ه	N1|N1+O|N1+O	اسم|اسم + ه|اسم + ه
5	ادراک	ادراک	ادراک	ادراک	N1	اسم
6	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
7	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
8	وسیله‌ای	وسیله‌ای|وسیله	وسیله‌ای|وسیله	وسیله‌ای|وسیله+ای	A0|N1+O	صفت|اسم + ای
9	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
10	برای	برای	برای	برای	Pr	حرف اضافه
11	فهمیدن	فهمید|فهم	فهمید|فهم	فهمید+ن|فهم+ید+ن	V2+Neg|V1+V+Neg	بن ماضی + ن|بن مضارع + فعل دوم شخص جمع + ن
12	.	.	.	.	Si	

0	دوگروه	دوگروه	دوگروه	دوگروه	N
1	از	از	از	از	Pr	حرف اضافه
2	مردم	مردم|مرد|مرد|مرد	مردم|مرد|مرد|مرد	مردم|مرد+م|مرد+م|مرد+م	N1|N1+N|N1+V|V	اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|اول شخص مفرد
3	بیشتر	بیشتر|بیش|شتر	بیشتر|بیش|شتر	بیشتر|بیش+تر|بی+شتر	A0|A0+A|O+N1	صفت|صفت + علامت صفت تفضیلی|بی + اسم
4	از	از	از	از	Pr	حرف اضافه
5	بقیه	بقیه|بقیه|قیه|بق|قی	بقیه|بقیه|قیه|بق|قی	بقیه|بقیه|ب+قیه|بق+یه|ب+قی+ه	A0|N1|O+N1|N1+O|O+N1+O	صفت|اسم|ب + اسم|اسم + یه|ب + اسم + ه
6	تمام	تمام|تمام	تمام|تمام	تمام|تمام	A0|N9	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
7	بدنشان	بدن	بدن	بدن+شان	N1+N	اسم + ضمیر ملکی سوم شخص جمع
8	را	را	را	را	Po	حرف اضافه پسین
9	خال	خال	خال	خال	N1	اسم
10	کوبی	کوب|کوب	کوب|کوب	کوب+ی|کوب+ی	V|N1+Y	دوم شخص مفرد|اسم + ی
11	میکنند	کن|کن	کن|کن	می+کن+ند|می+کن+ند	V|V	سوم شخص جمع|سوم شخص جمع
12	:	:	:	:	Si	
13	خیلی	خیلی|خیلی|خیل	خیلی|خیلی|خیل	خیلی|خیلی|خیل+ی	A0|Ad|N1+Y	صفت|قید|اسم + ی
14	پولدارها	پول	پول	پول+دار+ها	N1+O+Pl	اسم + دار + علامت جمع
15	وخیلی	وخیلی	وخیلی	وخیلی	N
16	فقیرها	فقیر	فقیر	فقیر+ها	A0+Pl	صفت + علامت جمع
17	.	.	.	.	Si	

