0	می‌اندیشم	اندیش|می|می|می|می	اندیش|می|می|می|می	می+اندیش+م|می+اند+ی+ش+م|می+اند+ی+ش+م|می+اند+ی+ش+م|می+اند+ی+ش+م	V|N1+V+Y+N+N|N1+V+Y+N+V|N1+V+Y+N+N|N1+V+Y+N+V	اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد
18	بکوشم	کوش|کوش|کوش	کوش|کوش|کوش	ب+کوش+م|ب+کوش+م|ب+کوش+م	V|O+N1+N|O+N1+V	اول شخص مفرد|ب + اسم + ضمیر ملکی اول شخص مفرد|ب + اسم + فعل اول شخص مفرد
19	تا	تا|تا|تا	تا|تا|تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات
20	او	او|او	او|او	او|او	N5|Ab	ضمیر فاعلی|اختصارات
21	را	را	را	را	Po	حرف اضافه پسین
22	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
23	گردانم	گردان|گردان|گردان|گردان|گردان|گرد|گرد|گر|گر	گردان|گردان|گردان|گردان|گردان|گرد|گرد|گر|گر	گردان+م|گردان+م|گردان+م|گردان+م|گردان+م|گرد+ان+م|گرد+ان+م|گر+د+ان+م|گر+د+ان+م	V|N1+N|N1+V|A0+N|A0+V|V1+Pl+N|V1+Pl+V|V1+O+Pl+N|V1+O+Pl+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد|بن مضارع + ان + ضمیر ملکی اول شخص مفرد|بن مضارع + ان + فعل اول شخص مفرد|بن مضارع + د + ان + ضمیر ملکی اول شخص مفرد|بن مضارع + د + ان + فعل اول شخص مفرد
24	،	،	،	،	Si	
25	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
26	اهمال	اهمال	اهمال	اهمال	N1	اسم
27	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
28	تقصیر	تقصیر	تقصیر	تقصیر	N1	اسم
29	را	را	را	را	Po	حرف اضافه پسین
30	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
31	مذهب	مذهب|مذهب|مذهب	مذهب|مذهب|مذهب	مذهب|مذهب|مذهب	N1|N1|A0	اسم|اسم|صفت
32	حمیت	حمیت	حمیت	حمیت	N1	اسم
33	رخصت	رخصت	رخصت	رخصت	N1	اسم
34	نبینم	بین	بین	ن+بین+م	V	اول شخص مفرد
35	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
36	اگر	اگر	اگر	اگر	C0	حرف ربط
37	غفلتی	غفلت	غفلت	غفلت+ی	N1+Y	اسم + ی
38	روا	روا	روا	روا	A0	صفت
39	دارم	دار|دار|دار	دار|دار|دار	دار+م|دار+م|دار+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
40	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
41	نزدیک	نزدیک|نزدیک	نزدیک|نزدیک	نزدیک|نزدیک	A0|N9	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
42	اصحاب	صاحب	صاحب	صاحب	N	اسم مفرد جمع مکسر
43	مروت	مروت|مرو	مروت|مرو	مروت|مرو+ت	N1|N2+N	اسم|اسم خاص مکان + ضمیر ملکی دوم شخص مفرد
44	معذور	معذور	معذور	معذور	A0	صفت
45	نباشم	باش	باش	ن+باش+م	V	اول شخص مفرد
46	.	.	.	.	Si	

0	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
1	نیز	نیز|آز	نیز|آز	نیز|نی+آز	Ad|V	قید|فعل امر منفی
2	منزلتی	منزلتی|منزلت	منزلتی|منزلت	منزلتی|منزلت+ی	N1|N1+Y	اسم|اسم + ی
3	تو	تو|تو|تو	تو|تو|تو	تو|تو|تو	N5|Ad|N1	ضمیر فاعلی|قید|اسم
4	نمی‌جویم	جو|جو	جو|جو	نمی+جو+یم|نمی+جو+یم	V|V	اول شخص جمع|اول شخص جمع
5	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
6	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
7	طلب	طلب|طلب	طلب|طلب	طلب|طلب	V|N1	فعل امر مثبت|اسم
8	زیادتی	زیادتی|زیادت	زیادتی|زیادت	زیادتی|زیادت+ی	A0|N1+Y	صفت|اسم + ی
9	قدم	قدم|قدم|قد|قد|قد|قد	قدم|قدم|قد|قد|قد|قد	قدم|قدم|قد+م|قد+م|قد+م|قد+م	N1|N1|N1+N|N1+V|A0+N|A0+V	اسم|اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد
10	نمی‌گزارم	گزار	گزار	نمی+گزار+م	V	اول شخص مفرد
11	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
12	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
13	حرص	حرص	حرص	حرص	N1	اسم
14	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
15	گرم‌شکمی	گرم شکمی	گرم شکمی	گرم شکمی	N
16	منسوب	منسوب	منسوب	منسوب	N1	اسم
17	شوم	شوم|شو|شو|شو|شو	شوم|شو|شو|شو|شو	شوم|شو+م|شو+م|شو+م|شو+م	A0|V|V|N1+N|N1+V	صفت|اول شخص مفرد|اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
18	.	.	.	.	Si	

0	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
1	شاید	شاید|شاید|شا	شاید|شاید|شا	شاید|شاید|شا+ی+د	V|Ad|V	سوم شخص مفرد|قید|سوم شخص مفرد
2	بود	بود|بود|بود|بو	بود|بود|بود|بو	بود|بود|بود|بو+د	V|N1|V|V	سوم شخص مفرد|اسم|سوم شخص مفرد|سوم شخص مفرد
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	چون	چون|چون	چون|چون	چون|چون	C0|Pr	حرف ربط|حرف اضافه
5	صورت	صورت|صورت|صور|صور	صورت|صورت|صور|صور	صورت|صورت|صور+ت|صور+ت	N1|N9|N1+N|N1+N	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی دوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
6	حال	حال	حال	حال	N1	اسم
7	بشناخت	شناخت|شناخت	شناخت|شناخت	ب+شناخت|ب+شناخت	V|O+N1	سوم شخص مفرد|ب + اسم
8	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
9	فضیحت	فضیحت	فضیحت	فضیحت	N1	اسم
10	خود	خود|خود	خود|خود	خود|خود	N|N1	ضمیر مشترک/متقابل|اسم
11	بدید	دید|دید|بد	دید|دید|بد	ب+دید|ب+دید|بد+ید	V|O+N1|A0+V	سوم شخص مفرد|ب + اسم|صفت + فعل دوم شخص جمع
12	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
13	مکابره	مکابره	مکابره	مکابره	N
14	درآید	درآی	درآی	درآی+د	V	سوم شخص مفرد
15	،	،	،	،	Si	
16	ساخته	ساخته|ساخت|ساخت	ساخته|ساخت|ساخت	ساخته|ساخت+ه|ساخت+ه	A0|O+O|N1+O	صفت|ریشه ماضی + ه|اسم + ه
17	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
18	بسیجیده	بسیجید	بسیجید	بسیجید+ه	O+O	ریشه ماضی + ه
19	جنگ	جنگ|جنگ|جنگ	جنگ|جنگ|جنگ	جنگ|جنگ|جنگ	V|N1|N1	فعل امر مثبت|اسم|اسم
20	آغازد	آغاز	آغاز	آغاز+د	V	سوم شخص مفرد
21	،	،	،	،	Si	
22	یا	یا|یا	یا|یا	یا|یا	C0|Intj	حرف ربط|صوت
23	مستعد	مستعد	مستعد	مستعد	A0	صفت
24	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
25	متشمر	متشمر	متشمر	متشمر	N
26	روی	روی|روی|رو|رو|رو	روی|روی|رو|رو|رو	روی|روی|رو+ی|رو+ی|رو+ی	Pr1|N1|N1+Y|V|V	حرف اضافه گروهی|اسم|اسم + ی|دوم شخص مفرد|دوم شخص مفرد
27	بگرداند	گرداند|گردان	گرداند|گردان	ب+گرداند|ب+گردان+د	V|V	سوم شخص مفرد|سوم شخص مفرد
28	.	.	.	.	Si	

0	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
1	اصحاب	صاحب	صاحب	صاحب	N	اسم مفرد جمع مکسر
2	حزم	حزم	حزم	حزم	N1	اسم
3	گناه	گناه	گناه	گناه	N1	اسم
4	ظاهر	ظاهر	ظاهر	ظاهر	N1	اسم
5	را	را	را	را	Po	حرف اضافه پسین
6	عقوبت	عقوبت	عقوبت	عقوبت	N1	اسم
7	مستور	مستور|مس	مستور|مس	مستور|مس+ت+ور	A0|N1+N+O	صفت|اسم + ضمیر ملکی دوم شخص مفرد + ور
8	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
9	جرم	جرم|جرم|جر|جر|جر|جر	جرم|جرم|جر|جر|جر|جر	جرم|جرم|جر+م|جر+م|جر+م|جر+م	N1|N1|N1+N|N1+V|N1+N|N1+V	اسم|اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
10	مستور	مستور|مس	مستور|مس	مستور|مس+ت+ور	A0|N1+N+O	صفت|اسم + ضمیر ملکی دوم شخص مفرد + ور
11	را	را	را	را	Po	حرف اضافه پسین
12	عقوبت	عقوبت	عقوبت	عقوبت	N1	اسم
13	ظاهر	ظاهر	ظاهر	ظاهر	N1	اسم
14	جایز	جایز	جایز	جایز	A0	صفت
15	نشمرند	شمر	شمر	ن+شمر+ند	V	سوم شخص جمع
16	.	.	.	.	Si	

0	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
1	بباید	باید	باید	ب+باید	O+V4	ب + فعل وجه نما
2	شناخت	شناخت|شناخت	شناخت|شناخت	شناخت|شناخت	V|N1	سوم شخص مفرد|اسم
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	عقوبت	عقوبت	عقوبت	عقوبت	N1	اسم
5	غادران	غادران	غادران	غادران	N
6	زود	زود	زود	زود	A0	صفت
7	نازل	نازل	نازل	نازل	N1	اسم
8	گردد	گرد	گرد	گرد+د	V	سوم شخص مفرد
9	،	،	،	،	Si	
10	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
11	سوگند	سوگند|سوگ	سوگند|سوگ	سوگند|سوگ+ند	N1|N1+V	اسم|اسم + فعل سوم شخص جمع
12	دروغ	دروغ	دروغ	دروغ	N1	اسم
13	قواعد	قواعد	قواعد	قواعد	N1	اسم
14	عمر	عمر|عمر	عمر|عمر	عمر|عمر	N1|N3	اسم|اسم خاص اشخاص
15	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
16	اساس	اساس|اساس	اساس|اساس	اساس|اساس	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
17	زندگانی	زندگانی|زنده	زندگانی|زنده	زندگانی|زنده+گان+ی	N1|A0+Pl+Y	اسم|صفت + علامت جمع + ی
18	زود	زود	زود	زود	A0	صفت
19	با	با	با	با	Pr	حرف اضافه
20	خلل	خلل	خلل	خلل	N1	اسم
21	کند	کند|کن|کن	کند|کن|کن	کند|کن+د|کن+د	A0|V|V	صفت|سوم شخص مفرد|سوم شخص مفرد
22	،	،	،	،	Si	
23	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
24	زبان	زبان	زبان	زبان	N1	اسم
25	نبوت	نبوت|بو	نبوت|بو	نبوت|ن+بو+ت	N1|V	اسم|دوم شخص مفرد
26	بدین	بدین	بدین	بدین	Pr	حرف اضافه
27	دقیقه	دقیقه|دقیق	دقیقه|دقیق	دقیقه|دقیق+ه	N1|A0+O	اسم|صفت + ه
28	اشارت	اشارت	اشارت	اشارت	N1	اسم
29	کند	کند|کن|کن	کند|کن|کن	کند|کن+د|کن+د	A0|V|V	صفت|سوم شخص مفرد|سوم شخص مفرد
30	.	.	.	.	Si	

0	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
1	کس	کس|کس	کس|کس	کس|کس	N1|N1	اسم|اسم
2	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
3	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
4	تواضع	تواضع	تواضع	تواضع	N1	اسم
5	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
6	تضرع	تضرع	تضرع	تضرع	N1	اسم
7	مقدمات	مقدمات|مقدم|مقدم	مقدمات|مقدم|مقدم	مقدمات|مقدم+ات|مقدم+ات	N1|A0+Pl|N1+Pl	اسم|صفت + علامت جمع|اسم + علامت جمع
8	آزار	آزار|آزار	آزار|آزار	آزار|آزار	V|N1	فعل امر مثبت|اسم
9	فرو	فرو|فرو|فرو	فرو|فرو|فرو	فرو|فرو|فرو	VPr|V|A0	پیشوند فعل|فعل امر مثبت|صفت
10	نتواند	توان	توان	ن+توان+د	V	سوم شخص مفرد
11	گذاشت	گذاشت	گذاشت	گذاشت	V	سوم شخص مفرد
12	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
13	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
14	عفو	عفو	عفو	عفو	N1	اسم
15	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
16	تجاوز	تجاوز	تجاوز	تجاوز	N1	اسم
17	پیش‌دستی	پیشدستی|دست	پیشدستی|دست	پیشدستی|پیش+دست+ی	N1|O+N1+Y	اسم|پیش + اسم + ی
18	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
19	مبادرت	مبادرت	مبادرت	مبادرت	N1	اسم
20	نتواند	توان	توان	ن+توان+د	V	سوم شخص مفرد
21	نمود	نمود|نمود|مو	نمود|نمود|مو	نمود|نمود|ن+مو+د	V|N1|V	سوم شخص مفرد|اسم|سوم شخص مفرد
22	از	از	از	از	Pr	حرف اضافه
23	پیرایه	پیرایه	پیرایه	پیرایه	N1	اسم
24	نیکونامی	نیکونامی	نیکونامی	نیکونامی	N
25	عاطل	عاطل	عاطل	عاطل	A0	صفت
26	گردد	گرد	گرد	گرد+د	V	سوم شخص مفرد
27	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
28	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
29	پیش	پیش|پیش|پی	پیش|پیش|پی	پیش|پیش|پی+ش	A0|N9|N1+N	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی سوم شخص مفرد
30	مردان	مرد	مرد	مرد+ان	N1+Pl	اسم + ان
31	سرافگنده	سرافگنده	سرافگنده	سرافگنده	N
32	ماند	ماند|مان	ماند|مان	ماند|مان+د	V|V	سوم شخص مفرد|سوم شخص مفرد
33	.	.	.	.	Si	

0	اینست	این	این	این	N
1	مثل	مثل|مثل|مثل|مثل	مثل|مثل|مثل|مثل	مثل|مثل|مثل|مثل	N1|N1|N1|N9	اسم|اسم|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
2	خردمند	خردمند|خرد|خر	خردمند|خرد|خر	خردمند|خرد+مند|خر+د+مند	A0|N1+O|V1+O+O	صفت|اسم + مند|بن مضارع + د + مند
3	روشن	روشن	روشن	روشن	A0	صفت
4	رأی	رأی	رأی	رأی	N1	اسم
5	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
6	فرصت	فرصت	فرصت	فرصت	N1	اسم
7	مصالحت	مصالح	مصالح	مصالح+ت	N1+N	اسم + ضمیر ملکی دوم شخص مفرد
8	دشمن	دشمن	دشمن	دشمن	A0	صفت
9	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
10	وقت	وقت|وقت	وقت|وقت	وقت|وقت	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
11	حاجت	حاجت|حاج	حاجت|حاج	حاجت|حاج+ت	N1|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد
12	فایت	فا	فا	فا+ی+ت	N1+N	اسم + ضمیر ملکی دوم شخص مفرد
13	نگرداند	گرداند|گردان	گرداند|گردان	ن+گرداند|ن+گردان+د	V|V	سوم شخص مفرد|سوم شخص مفرد
14	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
15	پس‌از	پس‌از	پس‌از	پس‌از	Pr1	حرف اضافه گروهی
16	حصول	حصول	حصول	حصول	N1	اسم
17	غرض	غرض	غرض	غرض	N1	اسم
18	از	از	از	از	Pr	حرف اضافه
19	مراعات	مراعات	مراعات	مراعات	N1	اسم
20	جانب	جانب|جانب	جانب|جانب	جانب|جانب	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
21	حزم	حزم	حزم	حزم	N1	اسم
22	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
23	احتیاط	احتیاط	احتیاط	احتیاط	N1	اسم
24	غافل	غافل	غافل	غافل	A0	صفت
25	نباشد	باش	باش	ن+باش+د	V	سوم شخص مفرد
26	.	.	.	.	Si	

0	سبحان‌الله	سبحان‌الله	سبحان‌الله	سبحان‌الله	Exp	عبارت
1	!	!	!	!	Si	

0	موشی	موشی|موش	موشی|موش	موشی|موش+ی	A0|N1+Y	صفت|اسم + ی
1	با	با	با	با	Pr	حرف اضافه
2	ضعف	ضعف	ضعف	ضعف	N1	اسم
3	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
4	عجز	عجز	عجز	عجز	N1	اسم
5	خویش	خویش	خویش	خویش	N	ضمیر مشترک/متقابل
6	چون	چون|چون	چون|چون	چون|چون	C0|Pr	حرف ربط|حرف اضافه
7	آفات	آفات|آف	آفات|آف	آفات|آف+ات	N1|N1+Pl	اسم|اسم + علامت جمع
8	بدو	بدو|بدو|دو|دو|دو	بدو|بدو|دو|دو|دو	بدو|بدو|ب+دو|ب+دو|ب+دو	N1|A0|V|V|O+N1	اسم|صفت|فعل امر مثبت|فعل امر مثبت|ب + اسم
9	محیط	محیط	محیط	محیط	A0	صفت
10	گشت	گشت|گشت|گشت	گشت|گشت|گشت	گشت|گشت|گشت	V|V|N1	سوم شخص مفرد|سوم شخص مفرد|اسم
11	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
12	دشمنان	دشمن	دشمن	دشمن+ان	A0+Pl	صفت + ان
13	غالب	غالب	غالب	غالب	A0	صفت
14	گرد	گرد|گرد|گرد|گرد|گر	گرد|گرد|گرد|گرد|گر	گرد|گرد|گرد|گرد|گر+د	V|A0|N1|A0|V	فعل امر مثبت|صفت|اسم|صفت|سوم شخص مفرد
15	او	او|او	او|او	او|او	N5|Ab	ضمیر فاعلی|اختصارات
16	درآمدند	درآمد|درآمد	درآمد|درآمد	درآمد+ند|درآمد+ند	V|N1+V	سوم شخص جمع|اسم + فعل سوم شخص جمع
17	دل	دل	دل	دل	N1	اسم
18	از	از	از	از	Pr	حرف اضافه
19	جای	جای|جا	جای|جا	جای|جا+ی	N1|N1+Y	اسم|اسم + ی
20	نبرد	نبرد|برد|بر|بر	نبرد|برد|بر|بر	نبرد|ن+برد|ن+بر+د|ن+بر+د	N1|V|V|V	اسم|سوم شخص مفرد|سوم شخص مفرد|سوم شخص مفرد
21	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
22	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
23	دقایق	دقایق	دقایق	دقایق	N1	اسم
24	مخادعت	مخادعت	مخادعت	مخادعت	N
25	یکی	یکی	یکی	یکی	A2	صفت مبهم
26	را	را	را	را	Po	حرف اضافه پسین
27	از	از	از	از	Pr	حرف اضافه
28	ایشان	ایشان	ایشان	ایشان	N5	ضمیر فاعلی
29	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
30	دام	دام	دام	دام	N1	اسم
31	موافقت	موافقت|موافق	موافقت|موافق	موافقت|موافق+ت	N1|A0+N	اسم|صفت + ضمیر ملکی دوم شخص مفرد
32	کشید	کشید|کش|کش|کش	کشید|کش|کش|کش	کشید|کش+ید|کش+ید|کش+ید	V|V|V|N1+V	سوم شخص مفرد|دوم شخص جمع|دوم شخص جمع|اسم + فعل دوم شخص جمع
33	،	،	،	،	Si	
34	تا	تا|تا|تا	تا|تا|تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات
35	بدان	دان|بد	دان|بد	ب+دان|بد+ان	V|A0+Pl	فعل امر مثبت|صفت + ان
36	وثیقت	وثیق	وثیق	وثیق+ت	A0+N	صفت + ضمیر ملکی دوم شخص مفرد
37	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
38	وسیلت	وسیلت	وسیلت	وسیلت	N1	اسم
39	محنت	محنت|محن	محنت|محن	محنت|محن+ت	N1|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد
40	از	از	از	از	Pr	حرف اضافه
41	وی	وی|وی	وی|وی	وی|وی	N5|Ab	ضمیر فاعلی|اختصارات
42	دور	دور|دور	دور|دور	دور|دور	A0|N1	صفت|اسم
43	گشت	گشت|گشت|گشت	گشت|گشت|گشت	گشت|گشت|گشت	V|V|N1	سوم شخص مفرد|سوم شخص مفرد|اسم
44	،	،	،	،	Si	
45	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
46	از	از	از	از	Pr	حرف اضافه
47	عهده	عهده|عهد	عهده|عهد	عهده|عهد+ه	N1|N1+O	اسم|اسم + ه
48	عهد	عهد	عهد	عهد	N1	اسم
49	دشمن	دشمن	دشمن	دشمن	A0	صفت
50	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
51	وقت	وقت|وقت	وقت|وقت	وقت|وقت	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
52	بیرون	بیرون	بیرون	بیرون	N1	اسم
53	آمد	آمد|آمد	آمد|آمد	آمد|آمد	V|N1	سوم شخص مفرد|اسم
54	،	،	،	،	Si	
55	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
56	پس‌از	پس‌از	پس‌از	پس‌از	Pr1	حرف اضافه گروهی
57	ادراک	ادراک	ادراک	ادراک	N1	اسم
58	نهمت	نه	نه	نه+م+ت	V	اول شخص مفرد
59	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
60	تصون	تصون	تصون	تصون	N
61	ذات	ذات	ذات	ذات	N1	اسم
62	ابواب	ابواب	ابواب	ابواب	N1	اسم
63	تیقظ	تیقظ	تیقظ	تیقظ	N
64	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
65	جای	جای|جا	جای|جا	جای|جا+ی	N1|N1+Y	اسم|اسم + ی
