0	﻿ما	ما	ما	ما	N5	ضمیر فاعلی
8	جزو	جزو	جزو	جزو	Pr1	حرف اضافه گروهی
9	رده‌بندی	رده‌بندی	رده‌بندی	رده‌بندی	N1	اسم
10	گیاه	گیاه	گیاه	گیاه	N1	اسم
11	هست	هست|هست	هست|هست	هست|هست	V|N1	سوم شخص مفرد|اسم
12	،	،	،	،	Si	
13	پس	پس|پس	پس|پس	پس|پس	Ad|N9	قید|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
14	بیشتر	بیشتر|بیش|شتر	بیشتر|بیش|شتر	بیشتر|بیش+تر|بی+شتر	A0|A0+A|O+N1	صفت|صفت + علامت صفت تفضیلی|بی + اسم
15	مردم	مردم|مرد|مرد|مرد	مردم|مرد|مرد|مرد	مردم|مرد+م|مرد+م|مرد+م	N1|N1+N|N1+V|V	اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|اول شخص مفرد
16	اکثر	اکثر	اکثر	اکثر	A0	صفت
17	خزه	خزه|خز|خز	خزه|خز|خز	خزه|خز+ه|خز+ه	N1|V1+O|N1+O	اسم|بن مضارع + ه|اسم + ه
18	دریا	دریا	دریا	دریا	N1	اسم
19	را	را	را	را	Po	حرف اضافه پسین
20	هم	هم|هم|هم	هم|هم|هم	هم|هم|هم	Ad|C0|N	قید|حرف ربط|ضمیر مشترک/متقابل
21	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
22	جزئی	جزئی	جزئی	جزئی	A0	صفت
23	از	از	از	از	Pr	حرف اضافه
24	(	(	(	(	Si	
25	حوزه	حوزه	حوزه	حوزه	N1	اسم
26	آغاز	آغاز|آغاز	آغاز|آغاز	آغاز|آغاز	V|N1	فعل امر مثبت|اسم
27	)	)	)	)	Si	
28	 | هست	 | هست	 | هست	 | هست	O	
29	،	،	،	،	Si	
30	جزو	جزو	جزو	جزو	Pr1	حرف اضافه گروهی
31	جلبک	جلبک|جلب	جلبک|جلب	جلبک|جلب+ک	N1|N1+O	اسم|اسم + ک
32	سبز	سبز	سبز	سبز	A0	صفت
33	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
34	نظر	نظر|نظر	نظر|نظر	نظر|نظر	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
35	گرفت | گیر	گرفت | گیر	گرفت | گیر	گرفت | گیر	O	
36	.	.	.	.	Si	

0	مشکل	مشکل	مشکل	مشکل	N1	اسم
1	عدم	عدم	عدم	عدم	N1	اسم
2	وجود	وجود|وجود	وجود|وجود	وجود|وجود	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
3	دقت	دقت|دق	دقت|دق	دقت|دق+ت	N1|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد
4	یا	یا|یا	یا|یا	یا|یا	C0|Intj	حرف ربط|صوت
5	توافق	توافق	توافق	توافق	N1	اسم
6	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
7	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
8	تعریف	تعریف	تعریف	تعریف	N1	اسم
9	گیاه	گیاه	گیاه	گیاه	N1	اسم
10	وجود	وجود|وجود	وجود|وجود	وجود|وجود	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
11	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
12	یک	یک	یک	یک	No	عدد حرفی
13	از	از	از	از	Pr	حرف اضافه
14	گفته	گفته|گفت|گفت	گفته|گفت|گفت	گفته|گفت+ه|گفت+ه	A0|O+O|N1+O	صفت|ریشه ماضی + ه|اسم + ه
15	مورد	مورد|مورد|مورد	مورد|مورد|مورد	مورد|مورد|مورد	N1|N1|N9	اسم|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
16	تفاهم	تفاهم	تفاهم	تفاهم	N1	اسم
17	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
18	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
19	اغلب	اغلب	اغلب	اغلب	Ad	قید
20	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
21	مقالات	مقالات|مقال	مقالات|مقال	مقالات|مقال+ات	N1|N1+Pl	اسم|اسم + علامت جمع
22	با	با	با	با	Pr	حرف اضافه
23	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
24	مواجه	مواجه|مواج	مواجه|مواج	مواجه|مواج+ه	A0|A0+O	صفت|صفت + ه
25	شد | شو	شد | شو	شد | شو	شد | شو	O	
26	.	.	.	.	Si	

0	خاصیت	خاصیت|خاص	خاصیت|خاص	خاصیت|خاص+یت	N1|A0+O	اسم|صفت + یت
1	ذره	ذره|ذر	ذره|ذر	ذره|ذر+ه	N1|N1+O	اسم|اسم + ه
2	ای	ای|ای|ای	ای|ای|ای	ای|ای|ای	Intj|Ab|Ab	صوت|اختصارات|اختصارات
3	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
4	موج	موج	موج	موج	N1	اسم
5	نور	نور|نور	نور|نور	نور|نور	N2|N1	اسم خاص مکان|اسم
6	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
7	یک	یک	یک	یک	No	عدد حرفی
8	پدیده	پدیده|پدید	پدیده|پدید	پدیده|پدید+ه	N1|N1+O	اسم|اسم + ه
9	فیزیکی	فیزیکی|فیزیک	فیزیکی|فیزیک	فیزیکی|فیزیک+ی	A0|N1+Y	صفت|اسم + ی
10	الکترومغناطیس	الکترومغناطیس	الکترومغناطیس	الکترومغناطیس	N1	اسم
11	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
12	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
13	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
14	نتیجه	نتیجه	نتیجه	نتیجه	N1	اسم
15	برخورد	برخورد|برخورد|برخور	برخورد|برخورد|برخور	برخورد|برخورد|برخور+د	V|N1|V	سوم شخص مفرد|اسم|سوم شخص مفرد
16	نور	نور|نور	نور|نور	نور|نور	N2|N1	اسم خاص مکان|اسم
17	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
18	سطح	سطح	سطح	سطح	N1	اسم
19	اشیاء	اشیاء	اشیاء	اشیاء	N1	اسم
20	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
21	باز	باز|باز|باز|باز|باز	باز|باز|باز|باز|باز	باز|باز|باز|باز|باز	V|A0|VPr|N1|Ad	فعل امر مثبت|صفت|پیشوند فعل|اسم|قید
22	تاب	تاب|تاب	تاب|تاب	تاب|تاب	V|N1	فعل امر مثبت|اسم
23	ویژه	ویژه	ویژه	ویژه	A0	صفت
24	طول	طول	طول	طول	N1	اسم
25	موج	موج	موج	موج	N1	اسم
26	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
27	تابش	تابش|تاب|تاب	تابش|تاب|تاب	تابش|تاب+ش|تاب+ش	N1|V|N1+N	اسم|سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
28	نور	نور|نور	نور|نور	نور|نور	N2|N1	اسم خاص مکان|اسم
29	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
30	شدت	شدت|شد	شدت|شد	شدت|شد+ت	N1|V	اسم|سوم شخص مفرد
31	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
32	،	،	،	،	Si	
33	توسط	توسط|توسط	توسط|توسط	توسط|توسط	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
34	چشم	چشم|چشم|چش	چشم|چشم|چش	چشم|چشم|چش+م	N1|Ad|V	اسم|قید|اول شخص مفرد
35	احساس	احساس	احساس	احساس	N1	اسم
36	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
37	پردازش	پردازش|پرداز|پرداز	پردازش|پرداز|پرداز	پردازش|پرداز+ش|پرداز+ش	N1|V|N1+N	اسم|سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
38	شده	شد	شد	شد+ه	V3+O	فعل اسنادی + ه
39	،	،	،	،	Si	
40	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
41	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
42	عنوان	عنوان	عنوان	عنوان	N1	اسم
43	مفهوم	مفهوم	مفهوم	مفهوم	N1	اسم
44	رنگ	رنگ|رنگ	رنگ|رنگ	رنگ|رنگ	N1|N1	اسم|اسم
45	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
46	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
47	ذهن	ذهن	ذهن	ذهن	N1	اسم
48	شناخت | شناس	شناخت | شناس	شناخت | شناس	شناخت | شناس	O	
49	.	.	.	.	Si	

0	تجزیه	تجزیه	تجزیه	تجزیه	N1	اسم
1	نور	نور|نور	نور|نور	نور|نور	N2|N1	اسم خاص مکان|اسم
2	سفید	سفید	سفید	سفید	A0	صفت
3	توسط	توسط|توسط	توسط|توسط	توسط|توسط	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
4	یک	یک	یک	یک	No	عدد حرفی
5	منشور	منشور|منش	منشور|منش	منشور|منش+ور	N1|N1+O	اسم|اسم + ور
6	نیز	نیز|آز	نیز|آز	نیز|نی+آز	Ad|V	قید|فعل امر منفی
7	یک	یک	یک	یک	No	عدد حرفی
8	خاصیت	خاصیت|خاص	خاصیت|خاص	خاصیت|خاص+یت	N1|A0+O	اسم|صفت + یت
9	فیزیکی	فیزیکی|فیزیک	فیزیکی|فیزیک	فیزیکی|فیزیک+ی	A0|N1+Y	صفت|اسم + ی
10	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
11	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
12	با	با	با	با	Pr	حرف اضافه
13	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
14	عمل	عمل	عمل	عمل	N1	اسم
15	هفت	هفت	هفت	هفت	No	عدد حرفی
16	رنگ	رنگ|رنگ	رنگ|رنگ	رنگ|رنگ	N1|N1	اسم|اسم
17	طیف	طیف	طیف	طیف	N1	اسم
18	بدست	بدست|دست|بد	بدست|دست|بد	بدست|ب+دست|بد+ست	N1|O+N1|A0+N	اسم|ب + اسم|صفت + ضمیر ملکی سوم شخص مفرد
19	آمد | آ	آمد | آ	آمد | آ	آمد | آ	O	
20	:	:	:	:	Si	
21	شامل	شامل	شامل	شامل	A0	صفت
22	بنفش	بنفش	بنفش	بنفش	A0	صفت
23	،	،	،	،	Si	
24	نیلی	نیلی|نیل	نیلی|نیل	نیلی|نیل+ی	A0|N1+Y	صفت|اسم + ی
25	،	،	،	،	Si	
26	آب	آب	آب	آب	N1	اسم
27	،	،	،	،	Si	
28	سبز	سبز	سبز	سبز	A0	صفت
29	،	،	،	،	Si	
30	زرد	زرد	زرد	زرد	A0	صفت
31	،	،	،	،	Si	
32	نارنج	نارنج	نارنج	نارنج	N1	اسم
33	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
34	قرمز	قرمز	قرمز	قرمز	A0	صفت
35	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
36	؛	؛	؛	؛	Si	
37	بنابراین	بنابراین|برا	بنابراین|برا	بنابراین|نا+ب+برا+ین	Ad|O+Neg+A0+O	قید|ب + نا + صفت + ین
38	رنگ	رنگ|رنگ	رنگ|رنگ	رنگ|رنگ	N1|N1	اسم|اسم
39	ناشی	ناشی	ناشی	ناشی	A0	صفت
40	از	از	از	از	Pr	حرف اضافه
41	امواج	موج	موج	موج	N	اسم مفرد جمع مکسر
42	نور	نور|نور	نور|نور	نور|نور	N2|N1	اسم خاص مکان|اسم
43	هست	هست|هست	هست|هست	هست|هست	V|N1	سوم شخص مفرد|اسم
44	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
45	چشم	چشم|چشم|چش	چشم|چشم|چش	چشم|چشم|چش+م	N1|Ad|V	اسم|قید|اول شخص مفرد
46	انسان	انسان	انسان	انسان	N1	اسم
47	قادر	قادر	قادر	قادر	A0	صفت
48	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
49	رنگ	رنگ|رنگ	رنگ|رنگ	رنگ|رنگ	N1|N1	اسم|اسم
50	را	را	را	را	Po	حرف اضافه پسین
51	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
52	طول	طول	طول	طول	N1	اسم
53	موج	موج	موج	موج	N1	اسم
54	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
55	بین	بین|بین|بین|ین	بین|بین|بین|ین	بین|بین|بین|ب+ین	V|N9|A0|O+N1	فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|صفت|ب + اسم
56	۴۰۰	۴۰۰	۴۰۰	۴۰۰	No	عدد رقمی
57	تا	تا|تا|تا	تا|تا|تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات
58	۷۰۰	۷۰۰	۷۰۰	۷۰۰	No	عدد رقمی
59	میلی	میلی|میل|میل	میلی|میل|میل	میلی|میل+ی|میل+ی	A0|N1+Y|N1+Y	صفت|اسم + ی|اسم + ی
60	میکرون	میکرون	میکرون	میکرون	N1	اسم
61	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
62	ببیند	بین	بین	ب+بین+د	V	سوم شخص مفرد
63	.	.	.	.	Si	

0	(	(	(	(	Si	
1	میلی	میلی|میل|میل	میلی|میل|میل	میلی|میل+ی|میل+ی	A0|N1+Y|N1+Y	صفت|اسم + ی|اسم + ی
2	میکرون	میکرون	میکرون	میکرون	N1	اسم
3	واحد	واحد	واحد	واحد	A0	صفت
4	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
5	برای	برای	برای	برای	Pr	حرف اضافه
6	اندازه‌گیری	اندازه‌گیری|اندازه‌گیر	اندازه‌گیری|اندازه‌گیر	اندازه‌گیری|اندازه‌گیر+ی	N1|A0+Y	اسم|صفت + ی
7	امواج	موج	موج	موج	N	اسم مفرد جمع مکسر
8	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
9	معادل	معادل	معادل	معادل	A0	صفت
10	یک	یک	یک	یک	No	عدد حرفی
11	میلیونوم	میلیونوم	میلیونوم	میلیونوم	N
12	میلی‌متر	میلیمتر	میلیمتر	میلیمتر	N1	اسم
13	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
14	)	)	)	)	Si	
15	.	.	.	.	Si	

0	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	قرن	قرن	قرن	قرن	N1	اسم
2	هفدهم	هفده|هفده	هفده|هفده	هفده+م|هفده+م	No+N|No+V	عدد حرفی + ضمیر ملکی اول شخص مفرد|عدد حرفی + فعل اول شخص مفرد
3	میلاد	میلاد	میلاد	میلاد	N1	اسم
4	نیوتن	نیوتن	نیوتن	نیوتن	N3	اسم خاص اشخاص
5	موفق	موفق	موفق	موفق	A0	صفت
6	شد | شو	شد | شو	شد | شو	شد | شو	O	
7	با	با	با	با	Pr	حرف اضافه
8	تجزیه	تجزیه	تجزیه	تجزیه	N1	اسم
9	نور	نور|نور	نور|نور	نور|نور	N2|N1	اسم خاص مکان|اسم
10	سفید	سفید	سفید	سفید	A0	صفت
11	طیف	طیف	طیف	طیف	N1	اسم
12	رنگ	رنگ|رنگ	رنگ|رنگ	رنگ|رنگ	N1|N1	اسم|اسم
13	را	را	را	را	Po	حرف اضافه پسین
14	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
15	دست	دست|دست	دست|دست	دست|دست	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
16	آورد | آور	آورد | آور	آورد | آور	آورد | آور	O	
17	.	.	.	.	Si	

0	او	او|او	او|او	او|او	N5|Ab	ضمیر فاعلی|اختصارات
1	کشف	کشف|کشف	کشف|کشف	کشف|کشف	N1|N1	اسم|اسم
2	نمود	نمود|نمود|مو	نمود|نمود|مو	نمود|نمود|ن+مو+د	V|N1|V	سوم شخص مفرد|اسم|سوم شخص مفرد
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	نور	نور|نور	نور|نور	نور|نور	N2|N1	اسم خاص مکان|اسم
5	سفید	سفید	سفید	سفید	A0	صفت
6	شامل	شامل	شامل	شامل	A0	صفت
7	انواع	نوع	نوع	نوع	N	اسم مفرد جمع مکسر
8	اشعه	اشعه	اشعه	اشعه	N1	اسم
9	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
10	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
11	هرگاه	هرگاه	هرگاه	هرگاه	Ad	قید
12	به‌طور	به‌طور	به‌طور	به‌طور	Pr1	حرف اضافه گروهی
13	جداگانه	جداگانه|جدا	جداگانه|جدا	جداگانه|جدا+گانه	Ad|A0+Pl	قید|صفت + گانه
14	با	با	با	با	Pr	حرف اضافه
15	شبکه	شبکه|شب	شبکه|شب	شبکه|شب+ک+ه	N1|N1+O+O	اسم|اسم + ک + ه
16	چشم	چشم|چشم|چش	چشم|چشم|چش	چشم|چشم|چش+م	N1|Ad|V	اسم|قید|اول شخص مفرد
17	انسان	انسان	انسان	انسان	N1	اسم
18	برخورد	برخورد|برخورد|برخور	برخورد|برخورد|برخور	برخورد|برخورد|برخور+د	V|N1|V	سوم شخص مفرد|اسم|سوم شخص مفرد
19	کند	کند|کن|کن	کند|کن|کن	کند|کن+د|کن+د	A0|V|V	صفت|سوم شخص مفرد|سوم شخص مفرد
20	احساس	احساس	احساس	احساس	N1	اسم
21	یک	یک	یک	یک	No	عدد حرفی
22	رنگ	رنگ|رنگ	رنگ|رنگ	رنگ|رنگ	N1|N1	اسم|اسم
23	مجزا	مجزا	مجزا	مجزا	A0	صفت
24	را	را	را	را	Po	حرف اضافه پسین
25	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
26	وجود	وجود|وجود	وجود|وجود	وجود|وجود	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
27	آورد | آور	آورد | آور	آورد | آور	آورد | آور	O	
28	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
29	اختلاط	اختلاط	اختلاط	اختلاط	N1	اسم
30	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
31	اشعه	اشعه	اشعه	اشعه	N1	اسم
32	بر	بر|بر|بر|بر|بر	بر|بر|بر|بر|بر	بر|بر|بر|بر|بر	Pr|V|V|VPr|N1	حرف اضافه|فعل امر مثبت|فعل امر مثبت|پیشوند فعل|اسم
33	روی	روی|روی|رو|رو|رو	روی|روی|رو|رو|رو	روی|روی|رو+ی|رو+ی|رو+ی	Pr1|N1|N1+Y|V|V	حرف اضافه گروهی|اسم|اسم + ی|دوم شخص مفرد|دوم شخص مفرد
34	شبکه	شبکه|شب	شبکه|شب	شبکه|شب+ک+ه	N1|N1+O+O	اسم|اسم + ک + ه
35	چشم	چشم|چشم|چش	چشم|چشم|چش	چشم|چشم|چش+م	N1|Ad|V	اسم|قید|اول شخص مفرد
36	،	،	،	،	Si	
37	رنگ	رنگ|رنگ	رنگ|رنگ	رنگ|رنگ	N1|N1	اسم|اسم
38	سفید	سفید	سفید	سفید	A0	صفت
39	را	را	را	را	Po	حرف اضافه پسین
40	محسوس	محسوس	محسوس	محسوس	A0	صفت
41	می‌‌سازد	ساز	ساز	می+ساز+د	V	سوم شخص مفرد
42	.	.	.	.	Si	

0	درباره	درباره|درباره|دربار	درباره|درباره|دربار	درباره|درباره|دربار+ه	N1|Pr1|N1+O	اسم|حرف اضافه گروهی|اسم + ه
1	واژه	واژه|واژ	واژه|واژ	واژه|واژ+ه	N1|N1+O	اسم|اسم + ه
2	تاریخ	تاریخ	تاریخ	تاریخ	N1	اسم
3	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
4	منشأ	منشأ	منشأ	منشأ	N1	اسم
5	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
6	،	،	،	،	Si	
7	گزارش	گزارش|گزارش|گزار	گزارش|گزارش|گزار	گزارش|گزارش|گزار+ش	N1|N9|V	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|سوم شخص مفرد
8	مختلف	مختلف	مختلف	مختلف	A0	صفت
9	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
10	گوناگون	گوناگون	گوناگون	گوناگون	A0	صفت
