
0	می‌اندیشم	اندیش|می|می|می|می	می‌اندیشم	می+اندیش+م|می+اند+ی+ش+م|می+اند+ی+ش+م|می+اند+ی+ش+م|می+اند+ی+ش+م	O+O+Y+O+N1|O+O+Y+O+N1|O+O+Y+O+N1|O+O+Y+O+N1|O+v1+O	فعل حال اخباری:اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد
11	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
12	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
13	هر	هر	هر	هر	A1	صفت اشاره
14	وجه	وجه|وج	وجه	وجه|وج+ه	O+N1|N1	اسم|اسم + ه
15	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
16	ممکن	ممکن	ممکن	ممکن	A0	صفت
17	گردد	گرد	گردد	گرد+د	|O+v1	فعل مضارع ساده:سوم شخص مفرد
18	بکوشم	کوش|کوش|کوش	بکوشم	ب+کوش+م|ب+کوش+م|ب+کوش+م	O+N1+O|O+N1+O|O+v1+O	فعل حال التزامی:اول شخص مفرد|ب + اسم + ضمیر ملکی اول شخص مفرد|ب + اسم + فعل اول شخص مفرد
19	تا	تا|تا|تا	تا	تا|تا|تا	Ab|C0|Pr	حرف اضافه|حرف ربط|اختصارات
20	او	او|او	او	او|او	Ab|N5	ضمیر فاعلی|اختصارات
21	را	را	را	را	Po	حرف اضافه پسین
22	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
23	گردانم	گردان|گردان|گردان|گردان|گردان|گرد|گرد|گر|گر	گردانم	گردان+م|گردان+م|گردان+م|گردان+م|گردان+م|گرد+ان+م|گرد+ان+م|گر+د+ان+م|گر+د+ان+م	O+O+O+V1|O+O+O+V1|O+O+V1|O+O+V1|O+A0|O+A0|O+N1|O+N1|O+v1	فعل مضارع ساده:اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد|بن مضارع + ان + ضمیر ملکی اول شخص مفرد|بن مضارع + ان + فعل اول شخص مفرد|بن مضارع + د + ان + ضمیر ملکی اول شخص مفرد|بن مضارع + د + ان + فعل اول شخص مفرد
24	،	،	،	،	O	
25	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
26	اهمال	اهمال	اهمال	اهمال	N1	اسم
27	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
28	تقصیر	تقصیر	تقصیر	تقصیر	N1	اسم
29	را	را	را	را	Po	حرف اضافه پسین
30	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
31	مذهب	مذهب|مذهب|مذهب	مذهب	مذهب|مذهب|مذهب	N1|A0|N1	اسم|صفت|اسم
32	حمیت	حمیت	حمیت	حمیت	N1	اسم
33	رخصت	رخصت	رخصت	رخصت	N1	اسم
34	نبینم	بین	نبینم	ن+بین+م	|O+v1+Neg	فعل حال التزامی منفی:اول شخص مفرد
35	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
36	اگر	اگر	اگر	اگر	C0	حرف ربط
37	غفلتی	غفلت	غفلتی	غفلت+ی	Y+N1	اسم + ی
38	روا	روا|رو	روا	روا|رو+ا	O+v1|A0	صفت|ریشه مضارع + ا
39	دارم	دار|دار|دار	دارم	دار+م|دار+م|دار+م	O+N1|O+N1|O+v1	فعل مضارع ساده:اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
40	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
41	نزدیک	نزدیک	نزدیک	نزدیک	A0	صفت
42	اصحاب	صاحب	اصحاب	صاحب	O	اسم مفرد جمع مکسر
43	مروت	مروت|مرو	مروت	مروت|مرو+ت	O+N2|N1	اسم|اسم خاص مکان + ضمیر ملکی دوم شخص مفرد
44	معذور	معذور	معذور	معذور	A0	صفت
45	نباشم	باش	نباشم	ن+باش+م	|O+v1+Neg	فعل حال التزامی منفی:اول شخص مفرد
46	.	.	.	.	Si	علامت نگارشی

0	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
1	نیز	نیز|آز	نیز	نیز|نی+آز	V6|Ad	قید|فعل امر منفی
2	منزلتی	منزلتی|منزلت	منزلتی	منزلتی|منزلت+ی	Y+N1|N1	اسم|اسم + ی
3	تو	تو|تو|تو	تو	تو|تو|تو	N1|Ad|N5	ضمیر فاعلی|قید|اسم
4	نمی‌جویم	جو	نمی‌جویم	نمی+جو+یم	|O+v1+O+Neg	فعل حال اخباری منفی:اول شخص جمع
5	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
6	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
7	طلب	طلب|طلب	طلب	طلب|طلب	N1|V6	فعل امر مثبت|اسم
8	زیادتی	زیادتی|زیادت	زیادتی	زیادتی|زیادت+ی	Y+N1|A0	صفت|اسم + ی
9	قدم	قدم|قدم|قد|قد|قد|قد	قدم	قدم|قدم|قد+م|قد+م|قد+م|قد+م	O+A0|O+A0|O+N1|O+N1|N1|N1	اسم|اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد
10	نمی‌گزارم	گزار	نمی‌گزارم	نمی+گزار+م	|O+v1+O+Neg	فعل حال اخباری منفی:اول شخص مفرد
11	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
12	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
13	حرص	حرص	حرص	حرص	N1	اسم
14	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
15	گرم‌شکمی	گرم شکمی	گرم‌شکمی	گرم+شکم+ی	O	N1
16	منسوب	منسوب	منسوب	منسوب	N1	اسم
17	شوم	شوم|شو|شو|شو	شوم	شوم|شو+م|شو+م|شو+م	O+N1|O+N1|A0|O+v1	صفت|فعل مضارع ساده:اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
18	.	.	.	.	Si	علامت نگارشی

0	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
1	شاید	شاید|شاید|شا	شاید	شاید|شاید|شا+ی+د	Ad|v2|O+v1	فعل ماضی ساده:سوم شخص مفرد|قید|فعل مضارع ساده:سوم شخص مفرد
2	بود	بود|بود|بود|بو|ود	بود	بود|بود|بود|بو+د|ب+ود	N1+O|N1|v2|v2|O+v1	فعل ماضی ساده:سوم شخص مفرد|اسم|فعل ماضی ساده:سوم شخص مفرد|فعل مضارع ساده:سوم شخص مفرد|ب + اسم
3	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
4	چون	چون|چون	چون	چون|چون	Pr|C0	حرف ربط|حرف اضافه
5	صورت	صورت|صورت|صور	صورت	صورت|صورت|صور+ت	O+N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی دوم شخص مفرد
6	حال	حال	حال	حال	N1	اسم
7	بشناخت	شناخت|شناخت	بشناخت	ب+شناخت|ب+شناخت	N1+O|O+O+O+v2	فعل ماضی التزامی:سوم شخص مفرد|ب + اسم
8	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
9	فضیحت	فضیحت	فضیحت	فضیحت	N1	اسم
10	خود	خود|خود	خود	خود|خود	N1|N8	ضمیر مشترک/متقابل|اسم
11	بدید	دید|دید|بد	بدید	ب+دید|ب+دید|بد+ید	O+A0|N1+O|O+O+O+v2	فعل ماضی التزامی:سوم شخص مفرد|ب + اسم|صفت + فعل دوم شخص جمع
12	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
13	مکابره	مکابره	مکابره	مک+ابر+ه	O	N1
14	درآید	درا|در	درآید	درا+ید|در+ا+ید	O+O+v1|O+v1	فعل مضارع ساده:دوم شخص جمع|ریشه مضارع + ا + فعل سوم شخص مفرد
15	،	،	،	،	O	
16	ساخته	ساخته|ساخت|ساخت	ساخته	ساخته|ساخت+ه|ساخت+ه	O+N1|O+v2|A0	صفت|ریشه ماضی + ه|اسم + ه
17	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
18	بسیجیده	بسیجید	بسیجیده	بسیجید+ه	O+v2	ریشه ماضی + ه
19	جنگ	جنگ|جنگ|جنگ	جنگ	جنگ|جنگ|جنگ	N1|N1|V6	فعل امر مثبت|اسم|اسم
20	آغازد	آغازد	آغازد	آغاز+د	O	N1
21	،	،	،	،	O	
22	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
23	مستعد	مستعد	مستعد	مستعد	A0	صفت
24	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
25	متشمر	متشمر	متشمر	مت+ش+مر	O	N1
26	روی	روی|روی|رو|رو	روی	روی|روی|رو+ی|رو+ی	Y+N1|N1|Pr1|O+v1	حرف اضافه گروهی|اسم|اسم + ی|فعل مضارع ساده:دوم شخص مفرد
27	بگرداند	گرداند|گردان	بگرداند	ب+گرداند|ب+گردان+د	|O+O+O+v2|O+v1+O	فعل ماضی التزامی:سوم شخص مفرد|فعل حال التزامی:سوم شخص مفرد
28	.	.	.	.	Si	علامت نگارشی

0	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
1	اصحاب	صاحب	اصحاب	صاحب	O	اسم مفرد جمع مکسر
2	حزم	حزم	حزم	حزم	N1	اسم
3	گناه	گناه	گناه	گناه	N1	اسم
4	ظاهر	ظاهر	ظاهر	ظاهر	N1	اسم
5	را	را	را	را	Po	حرف اضافه پسین
6	عقوبت	عقوبت	عقوبت	عقوبت	N1	اسم
7	مستور	مستور|مس	مستور	مستور|مس+ت+ور	O+O+N1|A0	صفت|اسم + ضمیر ملکی دوم شخص مفرد + ور
8	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
9	جرم	جرم|جرم|جر|جر|جر|جر	جرم	جرم|جرم|جر+م|جر+م|جر+م|جر+م	O+N1|O+N1|O+N1|O+N1|N1|N1	اسم|اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
10	مستور	مستور|مس	مستور	مستور|مس+ت+ور	O+O+N1|A0	صفت|اسم + ضمیر ملکی دوم شخص مفرد + ور
11	را	را	را	را	Po	حرف اضافه پسین
12	عقوبت	عقوبت	عقوبت	عقوبت	N1	اسم
13	ظاهر	ظاهر	ظاهر	ظاهر	N1	اسم
14	جایز	جایز	جایز	جایز	A0	صفت
15	نشمرند	شمر	نشمرند	ن+شمر+ند	|O+v1+Neg	فعل حال التزامی منفی:سوم شخص جمع
16	.	.	.	.	Si	علامت نگارشی

0	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
1	بباید	باید	بباید	ب+باید	V4+O	ب + فعل وجه نما
2	شناخت	شناخت|شناخت	شناخت	شناخت|شناخت	N1|v2	فعل ماضی ساده:سوم شخص مفرد|اسم
3	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
4	عقوبت	عقوبت	عقوبت	عقوبت	N1	اسم
5	غادران	غادران	غادران	غ+ا+در+ان	O	N1
6	زود	زود	زود	زود	A0	صفت
7	نازل	نازل	نازل	نازل	N1	اسم
8	گردد	گرد	گردد	گرد+د	|O+v1	فعل مضارع ساده:سوم شخص مفرد
9	،	،	،	،	O	
10	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
11	سوگند	سوگند|سوگ	سوگند	سوگند|سوگ+ند	O+N1|N1	اسم|اسم + فعل سوم شخص جمع
12	دروغ	دروغ	دروغ	دروغ	N1	اسم
13	قواعد	قواعد	قواعد	قواعد	N1	اسم
14	عمر	عمر|عمر	عمر	عمر|عمر	N3|N1	اسم|اسم خاص اشخاص
15	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
16	اساس	اساس	اساس	اساس	O	N1
17	زندگانی	زندگانی|زنده	زندگانی	زندگانی|زنده+گان+ی	Y+Pl+A0|N1	اسم|صفت + علامت جمع + ی
18	زود	زود	زود	زود	A0	صفت
19	با	با	با	با	Pr	حرف اضافه
20	خلل	خلل	خلل	خلل	N1	اسم
21	کند	کند|کن|کن	کند	کند|کن+د|کن+د	A0|O+v1|O+v1	صفت|فعل مضارع ساده:سوم شخص مفرد|فعل مضارع ساده:سوم شخص مفرد
22	،	،	،	،	O	
23	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
24	زبان	زبان	زبان	زبان	N1	اسم
25	نبوت	نبوت|بو	نبوت	نبوت|ن+بو+ت	N1|V6	اسم|فعل امر منفی:دوم شخص مفرد
26	بدین	بدین|دین|دین|بد	بدین	بدین|ب+دین|ب+دین|بد+ین	O+A0|N1+O|N1+O|Pr	حرف اضافه|ب + اسم|ب + اسم|صفت + ین
27	دقیقه	دقیقه|دقیق	دقیقه	دقیقه|دقیق+ه	O+A0|N1	اسم|صفت + ه
28	اشارت	اشارت	اشارت	اشارت	N1	اسم
29	کند	کند|کن|کن	کند	کند|کن+د|کن+د	A0|O+v1|O+v1	صفت|فعل مضارع ساده:سوم شخص مفرد|فعل مضارع ساده:سوم شخص مفرد
30	.	.	.	.	Si	علامت نگارشی

0	آن	ان	آن	ان	Ab	اختصارات
1	کس	کس	کس	کس	N1	اسم
2	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
3	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
4	تواضع	تواضع	تواضع	تواضع	N1	اسم
5	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
6	تضرع	تضرع	تضرع	تضرع	N1	اسم
7	مقدمات	مقدمات|مقدم|مقدم	مقدم	مقدمات|مقدم+ات|مقدم+ات	Pl+N1|Pl+A0|N1	اسم|صفت + علامت جمع|اسم + علامت جمع
8	آزار	ازار	آزار	ازار	N1	اسم
9	فرو	فرو|فرو|فرو	فرو	فرو|فرو|فرو	A0|VPr|V6	فعل امر مثبت|پیشوند فعل|صفت
10	نتواند	توان	نتواند	ن+توان+د	|O+v1+Neg	فعل حال التزامی منفی:سوم شخص مفرد
11	گذاشت	گذاشت	گذاشت	گذاشت	|v2	فعل ماضی ساده:سوم شخص مفرد
12	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
13	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
14	عفو	عفو	عفو	عفو	N1	اسم
15	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
16	تجاوز	تجاوز	تجاوز	تجاوز	N1	اسم
17	پیش‌دستی	پیش‌دستی|دست	پیش‌دستی	پیش‌دستی|پیش+دست+ی	Y+N1+O|N1	اسم|پیش + اسم + ی
18	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
19	مبادرت	مبادرت	مبادرت	مبادرت	N1	اسم
20	نتواند	توان	نتواند	ن+توان+د	|O+v1+Neg	فعل حال التزامی منفی:سوم شخص مفرد
21	نمود	نمود|نمود|مو	نمود	نمود|نمود|ن+مو+د	N1|v2|O+v1+Neg	فعل ماضی ساده:سوم شخص مفرد|اسم|فعل حال التزامی منفی:سوم شخص مفرد
22	از	از	از	از	Pr	حرف اضافه
23	پیرایه	پیرایه	پیرایه	پیرایه	N1	اسم
24	نیکونامی	نیکونامی|نیکونام	نیکونامی	نیکونامی|نیکونام+ی	Y+A0|N1	اسم|صفت + ی
25	عاطل	عاطل	عاطل	عاطل	A0	صفت
26	گردد	گرد	گردد	گرد+د	|O+v1	فعل مضارع ساده:سوم شخص مفرد
27	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
28	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
29	پیش	پیش|پیش|پی	پیش	پیش|پیش|پی+ش	O+N1|N9|A0	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی سوم شخص مفرد
30	مردان	مرد	مردان	مرد+ان	O+N1	اسم + ان
31	سرافگنده	سرافگنده	سرافگنده	سر+اف+گند+ه	O	N1
32	ماند	ماند|مان	ماند	ماند|مان+د	|v2|O+v1	فعل ماضی ساده:سوم شخص مفرد|فعل مضارع ساده:سوم شخص مفرد
33	.	.	.	.	Si	علامت نگارشی

0	اینست	این	اینست	این+ست	O	N1
1	مثل	مثل|مثل|مثل	مثل	مثل|مثل|مثل	N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم
2	خردمند	خردمند|خرد|خر	خردمند	خردمند|خرد+مند|خر+د+مند	O+O+V1|O+N1|A0	صفت|اسم + مند|بن مضارع + د + مند
3	روشن	روشن	روشن	روشن	A0	صفت
4	رأی	رأی	رأی	رأی	N1	اسم
5	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
6	فرصت	فرصت	فرصت	فرصت	N1	اسم
7	مصالحت	مصالح	مصالحت	مصالح+ت	O+N1	اسم + ضمیر ملکی دوم شخص مفرد
8	دشمن	دشمن	دشمن	دشمن	A0	صفت
9	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
10	وقت	وقت|وقت	وقت	وقت|وقت	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
11	حاجت	حاجت|حاج	حاجت	حاجت|حاج+ت	O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد
12	فایت	فا	فایت	فا+ی+ت	O+N1	اسم + ضمیر ملکی دوم شخص مفرد
13	نگرداند	گرداند|گردان	نگرداند	ن+گرداند|ن+گردان+د	|v2+Neg|O+v1+Neg	فعل ماضی ساده منفی:سوم شخص مفرد|فعل حال التزامی منفی:سوم شخص مفرد
14	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
15	پس‌از	پس‌از	پس‌از	پس‌از	Pr1	حرف اضافه گروهی
16	حصول	حصول	حصول	حصول	N1	اسم
17	غرض	غرض	غرض	غرض	N1	اسم
18	از	از	از	از	Pr	حرف اضافه
19	مراعات	مراعات	مراعات	مراعات	N1	اسم
20	جانب	جانب|جانب	جانب	جانب|جانب	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
21	حزم	حزم	حزم	حزم	N1	اسم
22	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
23	احتیاط	احتیاط	احتیاط	احتیاط	N1	اسم
24	غافل	غافل	غافل	غافل	A0	صفت
25	نباشد	باش	نباشد	ن+باش+د	|O+v1+Neg	فعل حال التزامی منفی:سوم شخص مفرد
26	.	.	.	.	Si	علامت نگارشی

0	سبحان‌الله	سبحان الله	سبحان‌الله	سبحان+‌الله	O	N1
1	!	!	!	!	Si	علامت نگارشی

0	موشی	موشی|موش	موشی	موشی|موش+ی	Y+N1|A0	صفت|اسم + ی
1	با	با	با	با	Pr	حرف اضافه
2	ضعف	ضعف	ضعف	ضعف	N1	اسم
3	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
4	عجز	عجز	عجز	عجز	N1	اسم
5	خویش	خویش|خو	خویش	خویش|خو+ی+ش	O+Y+N1|N8	ضمیر مشترک/متقابل|اسم + ی + ضمیر ملکی سوم شخص مفرد
6	چون	چون|چون	چون	چون|چون	Pr|C0	حرف ربط|حرف اضافه
7	آفات	افت	آفت	افت+ات	Pl+N1	اسم + علامت جمع
8	بدو	بدو|بدو|دو|دو	بدو	بدو|بدو|ب+دو|ب+دو	N1+O|V6|A0|N1	اسم|صفت|فعل امر مثبت|ب + اسم
9	محیط	محیط	محیط	محیط	A0	صفت
10	گشت	گشت|گشت|گشت	گشت	گشت|گشت|گشت	N1|v2|v2	فعل ماضی ساده:سوم شخص مفرد|فعل ماضی ساده:سوم شخص مفرد|اسم
11	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
12	دشمنان	دشمن	دشمنان	دشمن+ان	O+A0	صفت + ان
13	غالب	غالب	غالب	غالب	A0	صفت
14	گرد	گرد|گرد|گرد|گرد|گر	گرد	گرد|گرد|گرد|گرد|گر+د	A0|N1|A0|V6|O+v1	فعل امر مثبت|صفت|اسم|صفت|فعل مضارع ساده:سوم شخص مفرد
15	او	او|او	او	او|او	Ab|N5	ضمیر فاعلی|اختصارات
16	درآمدند	درآمد	درآمدند	درآمد+ند	O	N1
17	دل	دل	دل	دل	N1	اسم
18	از	از	از	از	Pr	حرف اضافه
19	جای	جای|جا	جای	جای|جا+ی	Y+N1|N1	اسم|اسم + ی
20	نبرد	نبرد|برد|بر	نبرد	نبرد|ن+برد|ن+بر+د	N1|v2+Neg|O+v1+Neg	اسم|فعل ماضی ساده منفی:سوم شخص مفرد|فعل حال التزامی منفی:سوم شخص مفرد
21	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
22	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
23	دقایق	دقایق	دقایق	دقایق	N1	اسم
24	مخادعت	مخادعت	مخادعت	م+خاد+عت	O	N1
25	یکی	یکی|یک	یکی	یکی|یک+ی	Y+No|A2	صفت مبهم|عدد حرفی + ی
26	را	را	را	را	Po	حرف اضافه پسین
27	از	از	از	از	Pr	حرف اضافه
28	ایشان	ایشان	ایشان	ایشان	N5	ضمیر فاعلی
29	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
30	دام	دام	دام	دام	N1	اسم
31	موافقت	موافقت|موافق	موافقت	موافقت|موافق+ت	O+A0|N1	اسم|صفت + ضمیر ملکی دوم شخص مفرد
32	کشید	کشید|کش|کش	کشید	کشید|کش+ید|کش+ید	O+N1|v2|O+v1	فعل ماضی ساده:سوم شخص مفرد|فعل مضارع ساده:دوم شخص جمع|اسم + فعل دوم شخص جمع
33	،	،	،	،	O	
34	تا	تا|تا|تا	تا	تا|تا|تا	Ab|C0|Pr	حرف اضافه|حرف ربط|اختصارات
35	بدان	بدان|دان|بد	بدان	بدان|ب+دان|بد+ان	O+A0|V6|O	|فعل امر مثبت|صفت + ان
36	وثیقت	وثیق	وثیقت	وثیق+ت	O+A0	صفت + ضمیر ملکی دوم شخص مفرد
37	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
38	وسیلت	وسیلت	وسیلت	وسیلت	N1	اسم
39	محنت	محنت|محن	محنت	محنت|محن+ت	O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد
40	از	از	از	از	Pr	حرف اضافه
41	وی	وی|وی	وی	وی|وی	Ab|N5	ضمیر فاعلی|اختصارات
42	دور	دور|دور	دور	دور|دور	N1|A0	صفت|اسم
43	گشت	گشت|گشت|گشت	گشت	گشت|گشت|گشت	N1|v2|v2	فعل ماضی ساده:سوم شخص مفرد|فعل ماضی ساده:سوم شخص مفرد|اسم
44	،	،	،	،	O	
45	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
46	از	از	از	از	Pr	حرف اضافه
47	عهده	عهده|عهده|عهد	عهده	عهده|عهده|عهد+ه	O+N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ه
48	عهد	عهد	عهد	عهد	N1	اسم
49	دشمن	دشمن	دشمن	دشمن	A0	صفت
50	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
