
0	ما	ما	﻿ما	ما	N5	ضمیر فاعلی
4	سبز	سبز	سبز	سبز	A0	صفت
5	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
6	وضوح	وضوح	وضوح	وضوح	N1	اسم
7	گیاهانی	گیاهان|گیاه	گیاهانی	گیاهان+ی|گیاه+ان+ی	Y+O+N1|Y+N1	اسم + ی|اسم + ان + ی
8	جزو	جزو	جزو	جزو	Pr1	حرف اضافه گروهی
9	رده‌بندی	رده‌بندی	رده‌بندی	رده‌بندی	N1	اسم
10	گیاه	گیاه	گیاه	گیاه	N1	اسم
11	هست	هست|هست	هست	هست|هست	N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم
12	،	،	،	،	O	
13	پس	پس|پس	پس	پس|پس	N9|Ad	قید|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
14	بیشتر	بیشتر|بیش|شتر	بیشتر	بیشتر|بیش+تر|بی+شتر	N1+O|O+A0|A0	صفت|صفت + علامت صفت تفضیلی|بی + اسم
15	مردم	مردم|مرد|مرد|مرد	مردم	مردم|مرد+م|مرد+م|مرد+م	O+N1|O+N1|N1|O+v2	اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|فعل ماضی ساده:اول شخص مفرد
16	اکثر	اکثر	اکثر	اکثر	A0	صفت
17	خزه	خزه|خز|خز	خزه	خزه|خز+ه|خز+ه	O+N1|O+V1|N1	اسم|بن مضارع + ه|اسم + ه
18	دریا	دریا	دریا	دریا	N1	اسم
19	را	را	را	را	Po	حرف اضافه پسین
20	هم	هم|هم|هم	هم	هم|هم|هم	N8|C0|Ad	قید|حرف ربط|ضمیر مشترک/متقابل
21	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
22	جزئی	جزئی	جزئی	جزئی	A0	صفت
23	از	از	از	از	Pr	حرف اضافه
24	(	(	(	(	O	
25	حوزه	حوزه	حوزه	حوزه	N1	اسم
26	آغاز	آغاز|آغاز	آغاز	آغاز|آغاز	N1|V6	فعل امر مثبت|اسم
27	)	)	)	)	O	
28	| هست	| هست	| هست	| هست	O	
29	،	،	،	،	O	
30	جزو	جزو	جزو	جزو	Pr1	حرف اضافه گروهی
31	جلبک	جلبک|جلب	جلبک	جلبک|جلب+ک	O+N1|N1	اسم|اسم + ک
32	سبز	سبز	سبز	سبز	A0	صفت
33	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
34	نظر	نظر|نظر	نظر	نظر|نظر	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
35	گرفت | گیر	گرفت | گیر	گرفت | گیر	گرفت | گیر	O	
36	.	.	.	.	Si	علامت نگارشی

0	مشکل	مشکل	مشکل	مشکل	N1	اسم
1	عدم	عدم	عدم	عدم	N1	اسم
2	وجود	وجود|وجود	وجود	وجود|وجود	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
3	دقت	دقت|دق	دقت	دقت|دق+ت	O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد
4	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
5	توافق	توافق	توافق	توافق	N1	اسم
6	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
7	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
8	تعریف	تعریف	تعریف	تعریف	N1	اسم
9	گیاه	گیاه	گیاه	گیاه	N1	اسم
10	وجود	وجود|وجود	وجود	وجود|وجود	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
11	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
12	یک	یک	یک	یک	No	عدد حرفی
13	از	از	از	از	Pr	حرف اضافه
14	گفته	گفته|گفته|گفت|گفت	گفته	گفته|گفته|گفت+ه|گفت+ه	O+N1|O+v2|N9|A0	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ریشه ماضی + ه|اسم + ه
15	مورد	مورد|مورد|مورد	مورد	مورد|مورد|مورد	N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم
16	تفاهم	تفاهم	تفاهم	تفاهم	N1	اسم
17	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
18	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
19	اغلب	اغلب	اغلب	اغلب	Ad	قید
20	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
21	مقالات	مقالات|مقال	مقاله	مقالات|مقال+ات	Pl+N1|N1	اسم|اسم + علامت جمع
22	با	با	با	با	Pr	حرف اضافه
23	آن	ان	آن	ان	Ab	اختصارات
24	مواجه	مواجه|مواج	مواجه	مواجه|مواج+ه	O+A0|A0	صفت|صفت + ه
25	شد | شو	شد | شو	شد | شو	شد | شو	O	
26	.	.	.	.	Si	علامت نگارشی

0	خاصیت	خاصیت|خاص	خاصیت	خاصیت|خاص+یت	O+A0|N1	اسم|صفت + یت
1	ذره	ذره|ذر	ذره	ذره|ذر+ه	O+N1|N1	اسم|اسم + ه
2	ای	ای|ای	ای	ای|ای	Ab|Intj	صوت|اختصارات
3	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
4	موج	موج	موج	موج	N1	اسم
5	نور	نور|نور	نور	نور|نور	N2|N1	اسم|اسم خاص مکان
6	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
7	یک	یک	یک	یک	No	عدد حرفی
8	پدیده	پدیده|پدید	پدیده	پدیده|پدید+ه	O+N1|N1	اسم|اسم + ه
9	فیزیکی	فیزیکی|فیزیک	فیزیکی	فیزیکی|فیزیک+ی	Y+N1|A0	صفت|اسم + ی
10	الکترومغناطیس	الکترومغناطیس	الکترومغناطیس	الکترومغناطیس	N1	اسم
11	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
12	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
13	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
14	نتیجه	نتیجه	نتیجه	نتیجه	N1	اسم
15	برخورد	برخورد|برخورد|برخور	برخورد	برخورد|برخورد|برخور+د	N1|v2|O+v1	فعل ماضی ساده:سوم شخص مفرد|اسم|فعل مضارع ساده:سوم شخص مفرد
16	نور	نور|نور	نور	نور|نور	N2|N1	اسم|اسم خاص مکان
17	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
18	سطح	سطح	سطح	سطح	N1	اسم
19	اشیاء	اشیاء	اشیاء	اشیا+ء	O	N1
20	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
21	باز	باز|باز|باز|باز|باز	باز	باز|باز|باز|باز|باز	VPr|N1|Ad|A0|V6	فعل امر مثبت|صفت|قید|اسم|پیشوند فعل
22	تاب	تاب|تاب	تاب	تاب|تاب	N1|V6	فعل امر مثبت|اسم
23	ویژه	ویژه	ویژه	ویژه	A0	صفت
24	طول	طول	طول	طول	N1	اسم
25	موج	موج	موج	موج	N1	اسم
26	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
27	تابش	تابش|تاب|تاب	تابش	تابش|تاب+ش|تاب+ش	O+N1|N1|O+v1	اسم|فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
28	نور	نور|نور	نور	نور|نور	N2|N1	اسم|اسم خاص مکان
29	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
30	شدت	شدت|شد	شدت	شدت|شد+ت	N1|v2	اسم|فعل ماضی ساده:سوم شخص مفرد
31	آن	ان	آن	ان	Ab	اختصارات
32	،	،	،	،	O	
33	توسط	توسط|توسط	توسط	توسط|توسط	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
34	چشم	چشم|چشم|چش	چشم	چشم|چشم|چش+م	Ad|N1|O+v1	اسم|قید|فعل مضارع ساده:اول شخص مفرد
35	احساس	احساس	احساس	احساس	N1	اسم
36	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
37	پردازش	پردازش|پرداز|پرداز	پردازش	پردازش|پرداز+ش|پرداز+ش	O+N1|N1|O+v1	اسم|فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
38	شده	شد	شده	شد+ه	O+V3	فعل اسنادی + ه
39	،	،	،	،	O	
40	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
41	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
42	عنوان	عنوان	عنوان	عنوان	N1	اسم
43	مفهوم	مفهوم	مفهوم	مفهوم	N1	اسم
44	رنگ	رنگ	رنگ	رنگ	N1	اسم
45	آن	ان	آن	ان	Ab	اختصارات
46	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
47	ذهن	ذهن	ذهن	ذهن	N1	اسم
48	شناخت | شناس	شناخت | شناس	شناخت | شناس	شناخت | شناس	O	
49	.	.	.	.	Si	علامت نگارشی

0	تجزیه	تجزیه	تجزیه	تجزیه	N1	اسم
1	نور	نور|نور	نور	نور|نور	N2|N1	اسم|اسم خاص مکان
2	سفید	سفید	سفید	سفید	A0	صفت
3	توسط	توسط|توسط	توسط	توسط|توسط	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
4	یک	یک	یک	یک	No	عدد حرفی
5	منشور	منشور|منش	منشور	منشور|منش+ور	O+N1|N1	اسم|اسم + ور
6	نیز	نیز|آز	نیز	نیز|نی+آز	V6|Ad	قید|فعل امر منفی
7	یک	یک	یک	یک	No	عدد حرفی
8	خاصیت	خاصیت|خاص	خاصیت	خاصیت|خاص+یت	O+A0|N1	اسم|صفت + یت
9	فیزیکی	فیزیکی|فیزیک	فیزیکی	فیزیکی|فیزیک+ی	Y+N1|A0	صفت|اسم + ی
10	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
11	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
12	با	با	با	با	Pr	حرف اضافه
13	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
14	عمل	عمل	عمل	عمل	N1	اسم
15	هفت	هفت	هفت	هفت	No	عدد حرفی
16	رنگ	رنگ	رنگ	رنگ	N1	اسم
17	طیف	طیف	طیف	طیف	N1	اسم
18	بدست	بدست|دست|بد	بدست	بدست|ب+دست|بد+ست	O+A0|N1+O|N1	اسم|ب + اسم|صفت + ضمیر ملکی سوم شخص مفرد
19	آمد | آ	امد | ا	آمد | آ	امد | ا	O	
20	:	:	:		O	
21	شامل	شامل	شامل	شامل	A0	صفت
22	بنفش	بنفش	بنفش	بنفش	A0	صفت
23	،	،	،	،	O	
24	نیلی	نیلی|نیل	نیلی	نیلی|نیل+ی	Y+N1|A0	صفت|اسم + ی
25	،	،	،	،	O	
26	آب	اب	آب	اب	N1	اسم
27	،	،	،	،	O	
28	سبز	سبز	سبز	سبز	A0	صفت
29	،	،	،	،	O	
30	زرد	زرد	زرد	زرد	A0	صفت
31	،	،	،	،	O	
32	نارنج	نارنج	نارنج	نارنج	N1	اسم
33	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
34	قرمز	قرمز	قرمز	قرمز	A0	صفت
35	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
36	؛	؛	؛	؛	O	
37	بنابراین	بنابراین|برا|بر	بنابراین	بنابراین|ب+نا+برا+ین|ب+نا+بر+ا+ین	O+O+v1|O+A0+O+O|Ad	قید|ب + نا + صفت + ین|ریشه مضارع + ا + ین
38	رنگ	رنگ	رنگ	رنگ	N1	اسم
39	ناشی	ناشی	ناشی	ناشی	A0	صفت
40	از	از	از	از	Pr	حرف اضافه
41	امواج	موج	امواج	موج	O	اسم مفرد جمع مکسر
42	نور	نور|نور	نور	نور|نور	N2|N1	اسم|اسم خاص مکان
43	هست	هست|هست	هست	هست|هست	N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم
44	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
45	چشم	چشم|چشم|چش	چشم	چشم|چشم|چش+م	Ad|N1|O+v1	اسم|قید|فعل مضارع ساده:اول شخص مفرد
46	انسان	انسان	انسان	انسان	N1	اسم
47	قادر	قادر	قادر	قادر	A0	صفت
48	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
49	رنگ	رنگ	رنگ	رنگ	N1	اسم
50	را	را	را	را	Po	حرف اضافه پسین
51	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
52	طول	طول	طول	طول	N1	اسم
53	موج	موج	موج	موج	N1	اسم
54	آن	ان	آن	ان	Ab	اختصارات
55	بین	بین|بین|بین|ین	بین	بین|بین|بین|ب+ین	N1+O|N9|A0|V6	فعل امر مثبت|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ب + اسم
56	۴۰۰	۴۰۰	۴۰۰	۴۰۰	Nu	عدد رقمی
57	تا	تا|تا|تا	تا	تا|تا|تا	Ab|C0|Pr	حرف اضافه|حرف ربط|اختصارات
58	۷۰۰	۷۰۰	۷۰۰	۷۰۰	Nu	عدد رقمی
59	میلی	میلی|میل|میل	میلی	میلی|میل+ی|میل+ی	Y+N1|Y+N1|A0	صفت|اسم + ی|اسم + ی
60	میکرون	میکرون	میکرون	میکرون	N1	اسم
61	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
62	ببیند	بین	ببیند	ب+بین+د	|O+v1+O	فعل حال التزامی:سوم شخص مفرد
63	.	.	.	.	Si	علامت نگارشی

0	(	(	(	(	O	
1	میلی	میلی|میل|میل	میلی	میلی|میل+ی|میل+ی	Y+N1|Y+N1|A0	صفت|اسم + ی|اسم + ی
2	میکرون	میکرون	میکرون	میکرون	N1	اسم
3	واحد	واحد	واحد	واحد	A0	صفت
4	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
5	برای	برای|برا|بر	برای	برای|برا+ی|بر+ا+ی	Y+O+v1|Y+A0|Pr	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی
6	اندازه‌گیری	اندازه‌گیری	اندازه‌گیری	اندازه‌گیری	N1	اسم
7	امواج	موج	امواج	موج	O	اسم مفرد جمع مکسر
8	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
9	معادل	معادل	معادل	معادل	A0	صفت
10	یک	یک	یک	یک	No	عدد حرفی
11	میلیونوم	میلیونوم	میلیونوم	میلیون+وم	O	N1
12	میلی‌متر	میلیمتر	میلی‌متر	میلیمتر	N1	اسم
13	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
14	)	)	)	)	O	
15	.	.	.	.	Si	علامت نگارشی

0	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	قرن	قرن	قرن	قرن	N1	اسم
2	هفدهم	هفده|هفده	هفدهم	هفده+م|هفده+م	O+No|O+No	عدد حرفی + ضمیر ملکی اول شخص مفرد|عدد حرفی + فعل اول شخص مفرد
3	میلاد	میلاد	میلاد	میلاد	N1	اسم
4	نیوتن	نیوتن	نیوتن	نیوتن	N3	اسم خاص اشخاص
5	موفق	موفق	موفق	موفق	A0	صفت
6	شد | شو	شد | شو	شد | شو	شد | شو	O	
7	با	با	با	با	Pr	حرف اضافه
8	تجزیه	تجزیه	تجزیه	تجزیه	N1	اسم
9	نور	نور|نور	نور	نور|نور	N2|N1	اسم|اسم خاص مکان
10	سفید	سفید	سفید	سفید	A0	صفت
11	طیف	طیف	طیف	طیف	N1	اسم
12	رنگ	رنگ	رنگ	رنگ	N1	اسم
13	را	را	را	را	Po	حرف اضافه پسین
14	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
15	دست	دست|دست	دست	دست|دست	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
16	آورد | آور	اورد | اور	آورد | آور	اورد | اور	O	
17	.	.	.	.	Si	علامت نگارشی

0	او	او|او	او	او|او	Ab|N5	ضمیر فاعلی|اختصارات
1	کشف	کشف|کشف	کشف	کشف|کشف	N1|N1	اسم|اسم
2	نمود	نمود|نمود|مو	نمود	نمود|نمود|ن+مو+د	N1|v2|O+v1+Neg	فعل ماضی ساده:سوم شخص مفرد|اسم|فعل حال التزامی منفی:سوم شخص مفرد
3	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
4	نور	نور|نور	نور	نور|نور	N2|N1	اسم|اسم خاص مکان
5	سفید	سفید	سفید	سفید	A0	صفت
6	شامل	شامل	شامل	شامل	A0	صفت
7	انواع	نوع	انواع	نوع	O	اسم مفرد جمع مکسر
8	اشعه	اشعه	اشعه	اشعه	N1	اسم
9	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
10	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
11	هرگاه	هرگاه	هرگاه	هرگاه	Ad	قید
12	به‌طور	به‌طور|طور	به‌طور	به‌طور|به+طور	N1+O|Pr1	حرف اضافه گروهی|به + اسم
13	جداگانه	جداگانه|جدا	جداگانه	جداگانه|جدا+گانه	O+A0|Ad	قید|صفت + گانه
14	با	با	با	با	Pr	حرف اضافه
15	شبکه	شبکه|شب	شبکه	شبکه|شب+ک+ه	O+O+N1|N1	اسم|اسم + ک + ه
16	چشم	چشم|چشم|چش	چشم	چشم|چشم|چش+م	Ad|N1|O+v1	اسم|قید|فعل مضارع ساده:اول شخص مفرد
17	انسان	انسان	انسان	انسان	N1	اسم
18	برخورد	برخورد|برخورد|برخور	برخورد	برخورد|برخورد|برخور+د	N1|v2|O+v1	فعل ماضی ساده:سوم شخص مفرد|اسم|فعل مضارع ساده:سوم شخص مفرد
19	کند	کند|کن|کن	کند	کند|کن+د|کن+د	A0|O+v1|O+v1	صفت|فعل مضارع ساده:سوم شخص مفرد|فعل مضارع ساده:سوم شخص مفرد
20	احساس	احساس	احساس	احساس	N1	اسم
21	یک	یک	یک	یک	No	عدد حرفی
22	رنگ	رنگ	رنگ	رنگ	N1	اسم
23	مجزا	مجزا	مجزا	مجزا	A0	صفت
24	را	را	را	را	Po	حرف اضافه پسین
25	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
26	وجود	وجود|وجود	وجود	وجود|وجود	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
27	آورد | آور	اورد | اور	آورد | آور	اورد | اور	O	
28	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
29	اختلاط	اختلاط	اختلاط	اختلاط	N1	اسم
30	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
31	اشعه	اشعه	اشعه	اشعه	N1	اسم
32	بر	بر|بر|بر|بر	بر	بر|بر|بر|بر	N1|VPr|V6|Pr	حرف اضافه|فعل امر مثبت|پیشوند فعل|اسم
33	روی	روی|روی|رو|رو	روی	روی|روی|رو+ی|رو+ی	Y+N1|N1|Pr1|O+v1	حرف اضافه گروهی|اسم|اسم + ی|فعل مضارع ساده:دوم شخص مفرد
34	شبکه	شبکه|شب	شبکه	شبکه|شب+ک+ه	O+O+N1|N1	اسم|اسم + ک + ه
35	چشم	چشم|چشم|چش	چشم	چشم|چشم|چش+م	Ad|N1|O+v1	اسم|قید|فعل مضارع ساده:اول شخص مفرد
36	،	،	،	،	O	
37	رنگ	رنگ	رنگ	رنگ	N1	اسم
38	سفید	سفید	سفید	سفید	A0	صفت
39	را	را	را	را	Po	حرف اضافه پسین
40	محسوس	محسوس	محسوس	محسوس	A0	صفت
41	می‌‌سازد	ساز	می‌‌سازد	می+ساز+د	|O+v1+O	فعل حال اخباری:سوم شخص مفرد
42	.	.	.	.	Si	علامت نگارشی

0	درباره	درباره|درباره|دربار	درباره	درباره|درباره|دربار+ه	O+N1|Pr1|N1	اسم|حرف اضافه گروهی|اسم + ه
1	واژه	واژه|واژ	واژه	واژه|واژ+ه	O+N1|N1	اسم|اسم + ه
2	تاریخ	تاریخ	تاریخ	تاریخ	N1	اسم
3	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
4	منشأ	منشأ	منشأ	منشأ	N1	اسم
5	آن	ان	آن	ان	Ab	اختصارات
6	،	،	،	،	O	
7	گزارش	گزارش|گزارش|گزار	گزارش	گزارش|گزارش|گزار+ش	N9|N1|O+v1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|فعل مضارع ساده:سوم شخص مفرد
8	مختلف	مختلف	مختلف	مختلف	A0	صفت
9	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
10	گوناگون	گوناگون	گوناگون	گوناگون	A0	صفت
11	وجود	وجود|وجود	وجود	وجود|وجود	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
12	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
13	.	.	.	.	Si	علامت نگارشی

0	برخی	برخی|رخ|رخ	برخی	برخی|ب+رخ+ی|ب+رخ+ی	Y+N1+O|Y+N1+O|A2	صفت مبهم|ب + اسم + ی|ب + اسم + ی
1	ریشه	ریشه|ریش|ری	ریشه	ریشه|ریش+ه|ری+ش+ه	O+O+N1|O+N1|N1	اسم|اسم + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه
