
0	وی	وی|وی	وی	وی|وی	Ab|N5	ضمیر فاعلی|اختصارات
7	موضوع	موضوع	موضوع	موضوع	N1	اسم
8	با	با	با	با	Pr	حرف اضافه
9	صاحب‌نظران	صاحب‌نظر	صاحب‌نظران	صاحب‌نظر+ان	O+A0	صفت + ان
10	بحث	بحث	بحث	بحث	N1	اسم
11	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
12	گفت‌وگو	گفت‌وگو	گفت‌وگو	گفت‌وگو	N1	اسم
13	انجام	انجام|انجام	انجام	انجام|انجام	V6|N1	اسم|فعل امر مثبت
14	می‌شود	شو	می‌شود	می+شو+د	|O+v1+O	فعل حال اخباری:سوم شخص مفرد
15	.	.	.	.	Si	علامت نگارشی

0	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	کالبدشکافی	کالبدشکافی	کالبدشکافی	کالبدشکافی	N1	اسم
2	سایت	سایت	سایت	سایت	N1	اسم
3	iFixit	iFixit	iFixit	iFixit	O	کلمه انگلیسی
4	،	،	،	،	O	
5	آن‌ها	آن ها	آن	آن+‌ها	O	N1
6	موفق	موفق	موفق	موفق	A0	صفت
7	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
8	کشف	کشف|کشف	کشف	کشف|کشف	N1|N1	اسم|اسم
9	یک	یک	یک	یک	No	عدد حرفی
10	نوار	نوار	نوار	نوار	N1	اسم
11	آنتن	آنتن	آنتن	آنتن	N1	اسم
12	جدید	جدید|جد	جدید	جدید|جد+ید	O+N1|A0	صفت|اسم + فعل دوم شخص جمع
13	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
14	بخش	بخش|بخش|خش	بخش	بخش|بخش|ب+خش	N1+O|V6|N1	اسم|فعل امر مثبت|ب + اسم
15	پایینی	پایینی|پایین|پا	پایینی	پایینی|پایین+ی|پا+ین+ی	Y+O+N1|Y+A0|A0	صفت|صفت + ی|اسم + ین + ی
16	گوشی	گوشی|گوش	گوشی	گوشی|گوش+ی	Y+N1|N1	اسم|اسم + ی
17	شدند	شد	شدند	شد+ند	|O+v2	فعل ماضی ساده:سوم شخص جمع
18	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
19	قاعدتاً	قاعدتاً	قاعدتا	قاعدتاً	Ad	قید
20	باید	باید	باید	باید	V4	فعل وجه نما
21	منجر	منجر	منجر	منجر	A0	صفت
22	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
23	بهبود	بهبود	بهبود	بهبود	N1	اسم
24	آنتن‌دهی	آنتن دهی	آنتن‌دهی	آنت+ن+‌دهی	O	N1
25	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
26	گوشی‌ها	گوشی|گوش	گوشی	گوشی+ها|گوش+ی+ها	Pl+Y+N1|Pl+N1	اسم + علامت جمع|اسم + ی + علامت جمع
27	شود	شود|شو	شود	شود|شو+د	N1|O+v1	اسم|فعل مضارع ساده:سوم شخص مفرد
28	.	.	.	.	Si	علامت نگارشی

0	کاربران	کاربر|کار	کاربران	کاربر+ان|کار+بر+ان	O+O+N1|O+A0	صفت + ان|اسم + بر + ان
1	برای	برای|برا|بر	برای	برای|برا+ی|بر+ا+ی	Y+O+v1|Y+A0|Pr	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی
2	توضیح	توضیح	توضیح	توضیح	N1	اسم
3	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
4	مشکل	مشکل	مشکل	مشکل	N1	اسم
5	تئوری‌های	تئوری	تئوری‌	تئوری+‌های	O	N1
6	مختلفی	مختلف	مختلفی	مختلف+ی	Y+A0	صفت + ی
7	را	را	را	را	Po	حرف اضافه پسین
8	مطرح	مطرح	مطرح	مطرح	N1	اسم
9	کرده‌اند	کرده|کرد|کرد	کرده‌اند	کرده+اند|کرد+ه+اند|کرد+ه+اند	O+O+N1|O+N1|O+O+v2	اسم + فعل سوم شخص جمع|فعل ماضی نقلی:سوم شخص جمع|اسم + ه + فعل سوم شخص جمع
10	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
11	برخی	برخی|رخ|رخ	برخی	برخی|ب+رخ+ی|ب+رخ+ی	Y+N1+O|Y+N1+O|A2	صفت مبهم|ب + اسم + ی|ب + اسم + ی
12	از	از	از	از	Pr	حرف اضافه
13	آن‌ها	آن ها	آن‌	آن+‌ها	O	N1
14	شبکه‌های	شبکه|شب	شبکه‌	شبکه+ها+ی|شب+ک+ه+ها+ی	Y+Pl+O+O+N1|Y+Pl+N1	اسم + علامت جمع + ی|اسم + ک + ه + علامت جمع + ی
15	تلفن	تلفن	تلفن	تلفن	N1	اسم
16	همراه	همراه|راه	همراه	همراه|هم+راه	N1+O|A0	صفت|هم + اسم
17	را	را	را	را	Po	حرف اضافه پسین
18	مقصر	مقصر	مقصر	مقصر	A0	صفت
19	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
20	موضوع	موضوع	موضوع	موضوع	N1	اسم
21	می‌دانند	دان	می‌دانند	می+دان+ند	|O+v1+O	فعل حال اخباری:سوم شخص جمع
22	ولی	ولی|ولی|ول|ول	ولی	ولی|ولی|ول+ی|ول+ی	Y+N1|Y+A0|N1|C0	حرف ربط|اسم|صفت + ی|اسم + ی
23	برخی	برخی|رخ|رخ	برخی	برخی|ب+رخ+ی|ب+رخ+ی	Y+N1+O|Y+N1+O|A2	صفت مبهم|ب + اسم + ی|ب + اسم + ی
24	دیگر	دیگر|دیگر|دی	دیگر	دیگر|دیگر|دی+گر	O+N1|A2|Ad	قید|صفت مبهم|اسم + گر
25	اعلام	اعلام|اعلام	اعلام	اعلام|اعلام	N1|N1	اسم|اسم
26	کرده‌اند	کرده|کرد|کرد	کرده‌اند	کرده+اند|کرد+ه+اند|کرد+ه+اند	O+O+N1|O+N1|O+O+v2	اسم + فعل سوم شخص جمع|فعل ماضی نقلی:سوم شخص جمع|اسم + ه + فعل سوم شخص جمع
27	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
28	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
29	مسأله	مسئله	مسأله	مسئله	N1	اسم
30	یادآور	یادآور	یادآور	یادآور	A0	صفت
31	مشکل	مشکل	مشکل	مشکل	N1	اسم
32	مربوط	مربوط	مربوط	مربوط	A0	صفت
33	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
34	آنتن‌های	آنتن	آنتن‌	آنت+ن+‌های	O	N1
35	آیفون۴	آیفون۴	آیفون۴	آی+فون+۴	O	N1
36	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
37	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
38	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
39	آن	ان	آن	ان	Ab	اختصارات
40	زمان	زمان|زم	زمان	زمان|زم+ان	O+N1|N1	اسم|اسم + ان
41	سر	سر|سر|سر|سر	سر	سر|سر|سر|سر	N9|N1|N1|V6	فعل امر مثبت|اسم|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
42	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
43	صدای	صدا	صدای	صدا+ی	Y+N1	اسم + ی
44	بسیار	بسیار|بسیار|سیار|بس	بسیار	بسیار|بسیار|ب+سیار|بس+یار	O+A0|A0+O|Ad|A0	صفت|قید|ب + صفت|صفت + یار
45	زیادی	زیادی|زیاد	زیادی	زیادی|زیاد+ی	Y+A0|A0	صفت|صفت + ی
46	به‌راه‌انداخت	به راه انداخت	به‌راه‌انداخت	به راه انداخت	|v2	فعل ماضی ساده:سوم شخص مفرد
47	.	.	.	.	Si	علامت نگارشی

0	چند	چند	چند	چند	NA	ضمیر پرسشی
1	روز	روز	روز	روز	N1	اسم
2	بعداز	بعداز	بعداز	بعداز	Pr1	حرف اضافه گروهی
3	تصویب	تصویب	تصویب	تصویب	N1	اسم
4	چهارمین	چهار	چهارمین	چهار+مین	O+No	عدد حرفی + مین
5	لایحه	لایحه	لایحه	لایحه	N1	اسم
6	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
7	چارچوب	چارچوب	چارچوب	چارچوب	N1	اسم
8	لوایح	لوایح	لوایح	لوایح	N1	اسم
9	مرتبط	مرتبط	مرتبط	مرتبط	A0	صفت
10	با	با	با	با	Pr	حرف اضافه
11	پول‌شویی	پول‌شویی	پول‌شویی	پول‌شویی	N1	اسم
12	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
13	مبارزه	مبارزه|مبارز	مبارزه	مبارزه|مبارز+ه	O+A0|N1	اسم|صفت + ه
14	با	با	با	با	Pr	حرف اضافه
15	تروریسم	تروریسم	تروریسم	تروریسم	N1	اسم
16	موسوم	موسوم	موسوم	موسوم	N1	اسم
17	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
18	FATF	FATF	FATF	FATF	O	کلمه انگلیسی
19	،	،	،	،	O	
20	بساط	بساط	بساط	بساط	N1	اسم
21	اتهام‌زنی	اتهام زنی	اتهام‌زنی	اتهام+‌زن+ی	O	N1
22	درمورد	درمورد	درمورد	درمورد	Pr1	حرف اضافه گروهی
23	پشت‌پرده	پشت‌پرده	پشت‌پرده	پشت‌پرده	N1	اسم
24	رشد	رشد	رشد	رشد	N1	اسم
25	قیمت	قیمت|قیم	قیمت	قیمت|قیم+ت	O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد
26	دلار	دلار	دلار	دلار	N1	اسم
27	بالا‌گرفته‌است	بالا گرفته	بالا‌گرفته‌است	بالا+گرفته+‌است	O	N1
28	.	.	.	.	Si	علامت نگارشی

0	علائم	علا|علا	علائم	علا+ی+م|علا+ی+م	O+N1|O+N1	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
1	سیاسی	سیاسی|سیاس	سیاسی	سیاسی|سیاس+ی	Y+A0|A0	صفت|صفت + ی
2	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
3	رسانه‌ای	رسانه‌ای|رسانه|رسان|رس	رسانه‌ای	رسانه‌ای|رسانه+ای|رسان+ه+ای|رس+ان+ه+ای	O+O+O+N1|O+O+V1|O+N1|A0	صفت|اسم + ای|بن مضارع + ه + ای|اسم + ان + ه + ای
4	از	از	از	از	Pr	حرف اضافه
5	بروز	بروز	بروز	بروز	N1	اسم
6	یک	یک	یک	یک	No	عدد حرفی
7	جنگ	جنگ|جنگ|جنگ	جنگ	جنگ|جنگ|جنگ	N1|N1|V6	فعل امر مثبت|اسم|اسم
8	ارزی	ارزی|ارز|ارز	ارزی	ارزی|ارز+ی|ارز+ی	Y+N1|A0|O+v1	صفت|فعل مضارع ساده:دوم شخص مفرد|اسم + ی
9	برسر	برسر	برسر	برسر	Pr1	حرف اضافه گروهی
10	تأیید	تأیید	تأیید	تأیید	N1	اسم
11	نهایی	نهایی|نه|نه	نهایی	نهایی|نه+ا+یی|نه+ا+یی	O+O+N1|O+O+v1|A0	صفت|ریشه مضارع + ا + یی|اسم + ا + یی
12	FATF	FATF	FATF	FATF	O	کلمه انگلیسی
13	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
14	مراجع	مرجع	مراجع	مرجع	O	اسم مفرد جمع مکسر
15	قانونی	قانونی|قانون	قانونی	قانونی|قانون+ی	Y+N1|A0	صفت|اسم + ی
16	‌حکایت‌دارد	حکایت دارد	‌حکایت‌دارد	حکایت+‌دار+د	O	N1
17	.	.	.	.	Si	علامت نگارشی

0	به‌گزارش	به‌گزارش|گزارش	به‌گزارش	به‌گزارش|به+گزارش	N1+O|Pr1	حرف اضافه گروهی|به + اسم
1	همشهری	همشهری|همشهر|شهری|شهر	همشهری	همشهری|همشهر+ی|هم+شهری|هم+شهر+ی	Y+N1+O|A0+O|Y+A0|N1	اسم|صفت + ی|هم + صفت|هم + اسم + ی
2	،	،	،	،	O	
3	تریبون‌های	تریبون	تریبون‌	تریبون+ها+ی	Y+Pl+N1	اسم + علامت جمع + ی
